vin_label,rows,t_start,t_end,active_days
VIN10_F_SM,1837988,2024-07-01T16:02:28.000000,2025-12-29T23:57:08.000000,416
VIN10_NF_SM,3168806,2024-01-01T05:29:59.000000,2025-02-26T08:42:00.000000,421
VIN11_F_SM,2702394,2024-03-27T12:47:27.000000,2025-11-22T23:45:55.000000,445
VIN11_NF_SM,4678423,2023-12-31T20:14:05.000000,2025-05-27T07:29:01.000000,490
VIN12_F_SM,2490690,2024-12-27T06:33:47.000000,2025-12-07T23:54:55.000000,344
VIN12_NF_SM,3192514,2024-01-01T05:30:01.000000,2026-02-18T01:26:19.000000,723
VIN13_F_SM,1629920,2024-07-31T00:11:46.000000,2025-11-06T23:55:54.000000,460
VIN13_NF_SM,3868675,2024-01-01T05:40:28.000000,2025-07-28T07:15:38.000000,524
VIN14_F_SM,2883142,2024-07-03T17:01:38.000000,2025-11-17T23:59:55.000000,457
VIN14_NF_SM,3422746,2024-01-19T11:06:19.000000,2026-02-18T01:26:57.000000,719
VIN15_NF_SM,3191966,2024-01-30T01:23:27.000000,2026-02-18T01:29:55.000000,721
VIN16_NF_SM,5315087,2024-01-12T12:31:08.000000,2026-02-16T11:31:33.000000,575
VIN17_NF_SM,3374585,2024-07-17T20:09:55.000000,2026-02-18T01:26:56.000000,458
VIN18_NF_SM,3953484,2024-03-22T22:00:17.000000,2026-02-11T05:37:55.000000,596
VIN19_NF_SM,3601637,2024-05-03T10:45:52.000000,2026-02-18T00:43:54.000000,602
VIN1_F_SM,1303473,2024-09-30T16:21:41.000000,2025-09-15T08:10:22.000000,305
VIN1_NF_SM,4500188,2024-02-02T18:12:43.000000,2026-02-18T01:17:56.000000,642
VIN20_NF_SM,4372039,2024-01-01T05:29:51.000000,2025-09-26T11:40:04.000000,626
VIN2_F_SM,843430,2025-06-27T09:26:53.000000,2025-12-13T23:58:46.000000,163
VIN2_NF_SM,3339979,2024-01-22T15:37:37.000000,2026-02-18T01:31:52.000000,687
VIN3_F_SM,1165335,2025-04-08T00:11:46.000000,2025-12-16T23:50:54.000000,248
VIN3_NF_SM,3272138,2024-03-18T14:56:12.000000,2026-02-18T01:27:54.000000,693
VIN4_F_SM,1227142,2025-03-05T16:57:15.000000,2025-08-02T06:55:49.000000,151
VIN4_NF_SM,3765513,2024-03-22T21:47:16.000000,2026-02-13T01:08:56.000000,588
VIN5_F_SM,1275868,2024-04-30T00:13:45.000000,2025-10-27T16:20:21.000000,219
VIN5_NF_SM,4254893,2024-04-03T08:20:43.000000,2026-02-17T09:52:05.000000,622
VIN6_F_SM,2219533,2024-10-03T17:33:31.000000,2025-11-04T23:53:54.000000,396
VIN6_NF_SM,3573023,2024-02-28T13:52:19.000000,2026-02-18T01:29:56.000000,602
VIN7_F_SM,2733480,2024-04-30T15:26:34.000000,2025-11-08T23:59:54.000000,543
VIN7_NF_SM,3991540,2024-02-22T09:09:19.000000,2026-02-18T01:21:57.000000,706
VIN8_F_SM,4802641,2024-01-31T00:03:34.000000,2025-10-26T23:09:22.000000,547
VIN8_NF_SM,3349684,2024-03-01T20:18:06.000000,2026-02-18T01:31:52.000000,692
VIN9_F_SM,3810537,2024-01-31T00:25:33.000000,2025-06-29T19:34:22.000000,501
VIN9_NF_SM,3332668,2024-02-27T18:11:45.000000,2026-02-10T23:48:40.000000,640
