,crank_dur_mean,crank_dur_trend,multi_sample_rate,dip_depth_mean,dip_depth_trend,dip_depth_last90_delta,failed_crank_rate,failed_crank_rate_last90,retry_rate,recovery_slope_mean,recovery_slope_trend,crank_per_active_day,min_vsi_crank_p05,vsi_std_ratio_30d,vsi_dominant_freq,vsi_spectral_entropy,vsi_range_trend,progressive_drift,bat_charge_delta_trend,vsi_rest_median_trend,vsi_rest_p05_last90,rate_vsi_below_21,rate_vsi_above_32
crank_dur_mean,1.0,0.22985910542570037,0.8860198624904507,-0.02612681436210848,0.23819709702062644,0.15359237536656892,0.653170359052712,0.46898362550727385,0.6656990068754775,-0.24216959511077157,0.29961802902979373,0.08693659281894577,-0.22575469741396534,-0.009625668449197862,0.2062800831140578,-0.010847975553857907,0.2557468295954517,-0.047822765469824294,0.22658517952635598,-0.27089505677496944,-0.2904507257448434,0.2748663101604278,-0.21934645660600632
crank_dur_trend,0.22985910542570037,1.0,0.2219243790248132,-0.13464238861505426,-0.10290348301150556,-0.07828856569394975,0.1296831846144998,0.2890073296429508,0.2179570158243696,-0.01462965180163573,-0.056782885806348854,0.3424330362382872,0.13568606745619982,0.1103422890123373,0.12522946818374492,-0.006694925400748555,0.22947286471887007,-0.2105182098235379,-0.010662288601192142,0.0502659225606017,-0.16638129421860298,0.12323621941377895,-0.14852031242579125
multi_sample_rate,0.8860198624904507,0.2219243790248132,1.0,-0.12757830404889228,0.12482811306340719,0.014296187683284457,0.48663101604278075,0.3657165543697968,0.5581359816653935,-0.1575248281130634,0.28678380443086327,-0.020932009167303284,-0.20343906720242916,-0.15630252100840336,0.1940560781887803,-0.011153552330022918,0.09295216095738304,0.04904507257448434,0.15446906035141328,-0.15360677334251024,-0.19480519480519481,0.16455309396485868,-0.1707642024202757
dip_depth_mean,-0.02612681436210848,-0.13464238861505426,-0.12757830404889228,1.0,0.4218487394957983,0.43841642228739003,-0.024293353705118412,0.15767118666356253,-0.19541634835752483,0.5844155844155844,0.38823529411764707,-0.11291061879297173,-0.6920902301221632,0.10343773873185638,0.07655283084455033,-0.17708174178762415,-0.055463167864073855,0.40626432391138273,0.4991596638655462,-0.39384336460899505,-0.5431627196333079,0.2696715049656226,0.2861672314661142
dip_depth_trend,0.23819709702062644,-0.10290348301150556,0.12482811306340719,0.4218487394957983,1.0,0.7408357771260997,0.038349885408708935,0.32390598410437926,-0.033766233766233764,0.34239877769289534,0.8062643239113827,-0.09427043544690604,-0.4279709903582281,0.07379679144385026,0.18045687270940908,-0.23666921313980138,-0.09397925665856958,0.15874713521772346,0.3815126050420168,-0.4391235598215262,-0.46554621848739497,0.23911382734912145,0.13041349296368884
dip_depth_last90_delta,0.15359237536656892,-0.07828856569394975,0.014296187683284457,0.43841642228739003,0.7408357771260997,1.0,0.10263929618768329,0.15661201638511096,-0.0036656891495601175,0.23790322580645162,0.5700146627565983,0.09164222873900293,-0.4769414638855983,0.14406158357771262,-0.057739895760787176,-0.1279325513196481,-0.008862186284547614,0.039222873900293255,0.4846041055718475,-0.4823318194077877,-0.5472873900293255,0.3977272727272727,0.3420773942105015
failed_crank_rate,0.653170359052712,0.1296831846144998,0.48663101604278075,-0.024293353705118412,0.038349885408708935,0.10263929618768329,1.0,0.4765397526636746,0.8829640947288007,-0.3546218487394958,-0.012375859434682964,0.305423987776929,-0.14520444315725597,0.12421695951107715,0.07548323041358855,0.0533231474407945,0.11897191872077571,-0.07165775401069518,0.24216959511077157,-0.3476198319962028,-0.24369747899159663,0.33231474407944994,-0.17092560525810208
failed_crank_rate_last90,0.46898362550727385,0.2890073296429508,0.3657165543697968,0.15767118666356253,0.32390598410437926,0.15661201638511096,0.4765397526636746,1.0,0.4216318953271624,-0.08513236596211524,0.2678227292102047,-0.009403180461298724,-0.29330029449209205,0.1894069207204457,0.215451583982802,-0.09722216941235645,0.06750442613763236,-0.0666618329131356,0.2501917658452696,-0.29442272196128905,-0.48090551502070616,0.12224134599688341,-0.09647394150877253
retry_rate,0.6656990068754775,0.2179570158243696,0.5581359816653935,-0.19541634835752483,-0.033766233766233764,-0.0036656891495601175,0.8829640947288007,0.4216318953271624,1.0,-0.45576776165011457,-0.04079449961802903,0.3173414820473644,0.017883073525683104,0.05148968678380443,0.08694323503103621,0.2565317035905271,0.01215396579737421,-0.21955691367456073,0.045989304812834225,-0.11964662693311187,-0.04232238349885409,0.19327731092436976,-0.24888317592822795
recovery_slope_mean,-0.24216959511077157,-0.01462965180163573,-0.1575248281130634,0.5844155844155844,0.34239877769289534,0.23790322580645162,-0.3546218487394958,-0.08513236596211524,-0.45576776165011457,1.0,0.48693659281894575,-0.22902979373567608,-0.6194880085435353,0.009320091673032849,0.12942165214637552,-0.24736440030557677,-0.1658759557416283,0.30970206264323913,0.4160427807486631,-0.2966796123821052,-0.40962566844919784,0.09793735676088618,0.19594304512118593
recovery_slope_trend,0.29961802902979373,-0.056782885806348854,0.28678380443086327,0.38823529411764707,0.8062643239113827,0.5700146627565983,-0.012375859434682964,0.2678227292102047,-0.04079449961802903,0.48693659281894575,1.0,-0.2675324675324675,-0.5195262129384348,0.008097784568372804,0.11643364691326819,-0.27517188693659284,0.02841631439949463,0.05179526355996944,0.48663101604278075,-0.4447835842230926,-0.47104660045836516,0.23422459893048128,0.1333187440445631
crank_per_active_day,0.08693659281894577,0.3424330362382872,-0.020932009167303284,-0.11291061879297173,-0.09427043544690604,0.09164222873900293,0.305423987776929,-0.009403180461298724,0.3173414820473644,-0.22902979373567608,-0.2675324675324675,1.0,0.08330149633758369,0.0013750954927425516,0.041714416807509466,0.06493506493506493,-0.057688541883311385,0.009014514896867838,-0.11413292589763178,0.10549656592919587,-0.12421695951107715,0.41237585943468297,0.014687658242197628
min_vsi_crank_p05,-0.22575469741396534,0.13568606745619982,-0.20343906720242916,-0.6920902301221632,-0.4279709903582281,-0.4769414638855983,-0.14520444315725597,-0.29330029449209205,0.017883073525683104,-0.6194880085435353,-0.5195262129384348,0.08330149633758369,1.0,-0.10500573942003669,-0.2141547027622615,0.2734428934824536,-0.01070300257139508,-0.3432938729802073,-0.612915596905891,0.5221795236717648,0.6208636295839723,-0.33794423560072945,-0.2522883193294702
