feature,auroc_full,jk_min,jk_max,jk_std,max_drop_vin,max_drop,max_gain_vin,max_gain
vsi_std_ratio_30d,0.8786,0.8692,0.9077,0.0102,VIN8_F_SM,0.0093,VIN1_F_SM,0.0291
vsi_dominant_freq,0.7482,0.7288,0.7865,0.016,VIN9_F_SM,0.0194,VIN8_F_SM,0.0383
failed_crank_rate_last90,0.7404,0.7188,0.7688,0.0154,VIN1_F_SM,0.0216,VIN8_F_SM,0.0284
vsi_range_trend,0.7321,0.7115,0.7885,0.0182,VIN7_F_SM,0.0206,VIN13_F_SM,0.0563
vsi_rest_p05_last90,0.7036,0.6808,0.7368,0.0162,VIN6_F_SM,0.0228,VIN10_NF_SM,0.0333
dip_depth_trend,0.6321,0.6038,0.6808,0.0205,VIN6_F_SM,0.0283,VIN10_F_SM,0.0486
dip_depth_last90_delta,0.6113,0.5789,0.6579,0.0199,VIN6_F_SM,0.0324,VIN10_F_SM,0.0466
crank_dur_trend,0.6071,0.5769,0.6278,0.0113,VIN7_F_SM,0.0302,VIN4_NF_SM,0.0207
vsi_rest_median_trend,0.6071,0.5769,0.6538,0.0192,VIN6_F_SM,0.0302,VIN12_F_SM,0.0467
recovery_slope_trend,0.5929,0.5615,0.6385,0.0202,VIN6_F_SM,0.0313,VIN10_F_SM,0.0456
crank_dur_mean,0.5857,0.5538,0.6115,0.0179,VIN5_F_SM,0.0319,VIN3_F_SM,0.0258
crank_per_active_day,0.5857,0.5577,0.6192,0.0184,VIN8_F_SM,0.028,VIN10_F_SM,0.0335
progressive_drift,0.5714,0.5385,0.6077,0.0183,VIN7_F_SM,0.033,VIN3_F_SM,0.0363
failed_crank_rate,0.5429,0.5115,0.5769,0.0188,VIN5_F_SM,0.0313,VIN3_F_SM,0.0341
min_vsi_crank_p05,0.5411,0.5058,0.575,0.0186,VIN2_F_SM,0.0353,VIN1_F_SM,0.0339
vsi_spectral_entropy,0.5393,0.5115,0.5731,0.018,VIN3_F_SM,0.0277,VIN11_F_SM,0.0338
recovery_slope_mean,0.5357,0.5,0.5769,0.02,VIN5_F_SM,0.0357,VIN13_F_SM,0.0412
rate_vsi_above_32,0.5286,0.5077,0.5692,0.0191,VIN9_F_SM,0.0209,VIN13_F_SM,0.0407
retry_rate,0.5214,0.5,0.5615,0.0155,VIN3_NF_SM,0.0214,VIN6_F_SM,0.0401
rate_vsi_below_21,0.5143,0.5038,0.5538,0.015,VIN3_NF_SM,0.0105,VIN3_F_SM,0.0396
dip_depth_mean,0.5107,0.5,0.55,0.0136,VIN4_NF_SM,0.0107,VIN3_F_SM,0.0393
bat_charge_delta_trend,0.5036,0.5,0.5423,0.0144,VIN12_NF_SM,0.0036,VIN12_F_SM,0.0387
multi_sample_rate,0.5036,0.5,0.5385,0.0103,VIN3_NF_SM,0.0036,VIN3_F_SM,0.0349
