feature,auroc,r_n_weeks_total,r_n_weeks_masked,r_active_days_total,r_t_start_ord,r_t_end_ord,r_span_days,r_n_events,max_abs_r_proxy
crank_per_active_day,0.586,-0.256,-0.234,-0.22,-0.023,-0.441,-0.338,0.825,0.825
failed_crank_rate_last90,0.74,-0.292,-0.287,-0.293,0.466,-0.052,-0.312,-0.165,0.466
rate_vsi_below_21,0.514,0.092,0.106,0.12,-0.176,-0.088,-0.004,0.459,0.459
vsi_std_ratio_30d,0.879,-0.404,-0.401,-0.368,0.269,-0.45,-0.444,-0.198,0.45
vsi_dominant_freq,0.748,-0.432,-0.425,-0.427,0.386,-0.43,-0.444,-0.26,0.444
vsi_range_trend,0.732,-0.405,-0.413,-0.437,0.328,-0.284,-0.398,-0.228,0.437
vsi_rest_p05_last90,0.704,0.262,0.245,0.256,-0.235,0.297,0.4,-0.019,0.4
dip_depth_trend,0.632,-0.369,-0.364,-0.373,0.325,-0.053,-0.243,-0.325,0.373
failed_crank_rate,0.543,-0.16,-0.151,-0.167,-0.168,-0.342,-0.175,0.243,0.342
recovery_slope_trend,0.593,-0.186,-0.186,-0.205,0.329,0.148,-0.09,-0.325,0.329
retry_rate,0.521,-0.055,-0.048,-0.061,-0.124,-0.154,-0.005,0.299,0.299
vsi_rest_median_trend,0.607,0.211,0.217,0.217,-0.067,0.181,0.254,0.213,0.254
crank_dur_trend,0.607,-0.184,-0.195,-0.186,0.239,-0.251,-0.239,0.226,0.251
dip_depth_last90_delta,0.611,-0.219,-0.216,-0.215,0.026,-0.096,-0.103,-0.025,0.219
crank_dur_mean,0.586,-0.159,-0.164,-0.198,0.188,-0.073,-0.094,0.02,0.198
dip_depth_mean,0.511,0.034,0.039,0.046,-0.185,-0.145,-0.017,-0.062,0.185
rate_vsi_above_32,0.529,0.169,0.165,0.165,-0.102,0.067,0.066,0.123,0.169
recovery_slope_mean,0.536,0.141,0.145,0.144,-0.066,0.016,0.078,-0.162,0.162
vsi_spectral_entropy,0.539,0.141,0.143,0.151,-0.065,0.025,0.158,0.106,0.158
progressive_drift,0.571,0.133,0.142,0.098,-0.13,-0.052,0.024,0.061,0.142
multi_sample_rate,0.504,0.024,0.014,-0.03,0.133,0.063,0.05,0.018,0.133
bat_charge_delta_trend,0.504,-0.037,-0.045,-0.049,-0.029,-0.048,-0.111,-0.121,0.121
min_vsi_crank_p05,0.541,-0.016,-0.029,-0.029,0.021,0.055,0.054,0.095,0.095
