feature,vin8_value,fleet_pctile,F_median,NF_median,winner
crank_dur_mean,5.074131674442716,23.5,5.2639,5.2304,False
crank_dur_trend,0.0,2.9,0.0,0.0,False
multi_sample_rate,0.029030585795749,11.8,0.062,0.0567,False
dip_depth_mean,4.920800083376504,67.6,4.6614,4.7352,False
dip_depth_trend,0.0759447607306442,55.9,0.0825,0.0416,False
dip_depth_last90_delta,0.7950924157211645,65.6,0.7951,0.3156,False
failed_crank_rate,0.0741901776384535,50.0,0.0695,0.0716,False
failed_crank_rate_last90,0.006006006006006,24.2,0.0435,0.0172,True
retry_rate,0.0425090720580611,52.9,0.0403,0.0383,False
recovery_slope_mean,1.258841436217008,61.8,1.2066,1.2142,False
recovery_slope_trend,0.0154341885945231,50.0,0.0214,0.0126,False
crank_per_active_day,3.526508226691042,94.1,1.0355,0.7786,False
min_vsi_crank_p05,17.600000381469727,55.9,17.295,17.3918,False
vsi_std_ratio_30d,0.7386094331741333,82.4,0.6893,0.1639,True
vsi_dominant_freq,0.0123456790123456,14.7,0.0284,0.0191,True
vsi_spectral_entropy,0.8436412322733622,79.4,0.6787,0.7001,False
vsi_range_trend,-0.0444446139865451,2.9,0.0661,0.0,True
progressive_drift,1.240533990128644,64.7,0.8535,0.8352,False
bat_charge_delta_trend,-0.0020481456409801,26.5,0.0016,0.0007,False
vsi_rest_median_trend,0.0,41.2,-0.0024,0.0,False
vsi_rest_p05_last90,23.907691955566406,29.4,24.0261,24.2831,False
rate_vsi_below_21,0.000620938382498,76.5,0.0002,0.0003,False
rate_vsi_above_32,8.506005239699228e-07,50.0,0.0,0.0,False
