feature,n_nonnull,mw_p,auroc,direction,cohens_d,jk_stable_frac@0.70,max_abs_r_winners,r_vsi_std_ratio_30d,r_vsi_dominant_freq,r_fcr_last90,r_vsi_range_trend,max_abs_r_proxy,worst_proxy,leak_flag,note
vsi_std_ratio_90d,32,1e-05,0.975,higher_in_failed,2.66,1.0,0.768,0.768,0.286,0.34,0.425,0.631,span_days,PROXY>=0.5,
vsi_withinwk_std_ratio_30d,34,0.0,0.9679,higher_in_failed,1.819,1.0,0.697,0.697,0.311,0.521,0.521,0.598,span_days,PROXY>=0.5,
vsi_rollstd4_last_ratio,34,2e-05,0.9357,higher_in_failed,1.691,1.0,0.823,0.823,0.185,0.318,0.349,0.598,span_days,PROXY>=0.5,
vsi_std_ratio_60d,34,0.0001,0.9,higher_in_failed,1.718,1.0,0.775,0.775,0.211,0.28,0.372,0.549,span_days,PROXY>=0.5,
failed_crank_rate_last30,31,0.01205,0.7544,higher_in_failed,1.029,1.0,0.63,0.262,0.034,0.63,0.205,0.366,active_days_total,ok,
failed_crank_rate_delta90,33,0.01581,0.7538,higher_in_failed,0.862,1.0,0.665,0.193,0.103,0.665,0.096,0.613,t_start_ord,PROXY>=0.5,
below21_rate_ratio_90,34,0.01653,0.7464,higher_in_failed,0.767,1.0,0.321,0.125,0.044,0.321,0.124,0.589,span_days,PROXY>=0.5,
vsi_trend_persistence,34,0.01411,0.7393,higher_in_failed,1.129,1.0,0.631,0.631,0.063,0.042,0.569,0.206,t_end_ord,ok,
vsi_drive_zage_abs_last90,34,0.0219,0.7357,higher_in_failed,1.019,1.0,0.449,0.449,0.105,0.043,0.358,0.388,span_days,LABEL_DEP,
failed_crank_rate_last60,33,0.03392,0.7192,higher_in_failed,0.637,0.941,0.923,0.221,0.132,0.923,0.053,0.303,t_start_ord,ok,
vsi_rest_p05_last90_delta,34,0.03425,0.7179,lower_in_failed,-0.717,0.941,0.455,-0.186,-0.149,-0.455,-0.109,0.47,span_days,watch(0.4),
crank_dur_last90_delta,33,0.109,0.6692,higher_in_failed,0.536,0.059,0.475,0.141,0.081,0.475,0.003,0.327,t_start_ord,ok,
vsi_rest_median_last90_delta,34,0.12796,0.6571,lower_in_failed,-0.659,0.029,0.446,-0.307,-0.13,-0.446,-0.061,0.313,span_days,ok,
sma_duty_last90,34,0.16157,0.6446,higher_in_failed,0.235,0.0,0.211,-0.009,0.041,0.211,0.044,0.323,span_days,ok,
crank_dur_cv,34,0.17791,0.6393,higher_in_failed,0.4,0.0,0.469,0.055,0.186,0.469,0.307,0.288,t_start_ord,ok,
vsi_vov_cv,34,0.20152,0.6321,lower_in_failed,-0.538,0.0,0.208,-0.153,-0.208,-0.018,-0.069,0.326,t_end_ord,ok,
vsi_rest_p05_trend,34,0.26077,0.6125,lower_in_failed,-0.711,0.0,0.325,-0.325,-0.039,-0.31,-0.179,0.23,span_days,ok,
sma_duty_ratio_90,34,0.28585,0.6107,higher_in_failed,0.324,0.0,0.378,0.005,-0.027,0.378,0.082,0.353,t_start_ord,ok,
vsi_accel,34,0.37222,0.5929,higher_in_failed,0.18,0.0,0.339,0.033,-0.029,-0.173,0.339,0.383,t_end_ord,ok,
vsi_dominant_freq_fix24,33,0.2689,0.5923,lower_in_failed,-0.212,0.0,0.195,-0.168,-0.184,-0.195,-0.176,0.186,t_start_ord,ok,
crank_health_last90,33,0.49549,0.5731,lower_in_failed,-0.434,0.0,0.393,-0.132,-0.056,-0.393,-0.031,0.175,span_days,ok,
vsi_grad_last8,34,0.61188,0.5536,higher_in_failed,0.168,0.0,0.368,-0.006,0.071,-0.022,0.368,0.256,t_end_ord,ok,
vsi_drive_mean_last60_delta,34,0.61188,0.5536,higher_in_failed,0.402,0.0,0.188,0.009,-0.172,0.056,0.188,0.332,t_end_ord,ok,
vsi_drive_zage_last90,34,0.66181,0.5464,lower_in_failed,0.213,0.0,0.246,-0.246,-0.066,0.06,-0.066,0.12,t_end_ord,LABEL_DEP,
min_vsi_crank_p05_last90_delta,33,0.67178,0.5462,higher_in_failed,-0.086,0.0,0.217,0.056,0.217,-0.214,-0.055,0.274,t_end_ord,ok,
dip_depth_skew,34,0.68738,0.5429,higher_in_failed,-0.058,0.0,0.28,0.036,-0.28,0.22,-0.054,0.08,t_start_ord,ok,
vsi_weekly_entropy,34,0.82007,0.525,higher_in_failed,0.146,0.0,0.05,-0.05,0.025,0.026,0.003,0.144,t_end_ord,ok,
recovery_slope_last90_delta,33,0.89739,0.5154,lower_in_failed,-0.134,0.0,0.203,-0.203,-0.183,0.125,0.054,0.223,t_end_ord,ok,
dip_depth_kurt,34,0.98604,0.5036,higher_in_failed,-0.114,0.0,0.333,0.035,-0.333,0.107,-0.017,0.091,n_weeks_masked,ok,
