candidate,auroc_5feat,delta_vs_base,vin8_prob,vin8_delta,leak_flag
vsi_withinwk_std_ratio_30d,0.9679,0.0464,0.3637,0.0606,PROXY>=0.5
vsi_std_ratio_90d,0.9357,0.0143,0.3043,0.0011,PROXY>=0.5
vsi_trend_persistence,0.9286,0.0071,0.3286,0.0254,ok
failed_crank_rate_last30,0.925,0.0036,0.2765,-0.0266,ok
vsi_rollstd4_last_ratio,0.9179,-0.0036,0.3115,0.0083,PROXY>=0.5
failed_crank_rate_last60,0.9179,-0.0036,0.3037,0.0006,ok
vsi_rest_p05_last90_delta,0.9179,-0.0036,0.3063,0.0032,watch(0.4)
vsi_rest_median_last90_delta,0.9179,-0.0036,0.3061,0.0029,ok
sma_duty_last90,0.9179,-0.0036,0.3221,0.019,ok
crank_dur_cv,0.9179,-0.0036,0.3037,0.0005,ok
failed_crank_rate_delta90,0.9143,-0.0071,0.2979,-0.0052,PROXY>=0.5
vsi_drive_zage_abs_last90,0.9143,-0.0071,0.3011,-0.0021,LABEL_DEP
crank_dur_last90_delta,0.9143,-0.0071,0.2927,-0.0105,ok
vsi_vov_cv,0.9143,-0.0071,0.3259,0.0227,ok
vsi_std_ratio_60d,0.9107,-0.0107,0.3045,0.0014,PROXY>=0.5
below21_rate_ratio_90,0.9036,-0.0179,0.3215,0.0183,PROXY>=0.5
