feature,auroc_full_history,auroc_fixed_window_L40,drop,verdict
vsi_std_ratio_30d,0.8786,0.7929,0.0857,PARTIAL
vsi_dominant_freq,0.7482,0.525,0.2232,LENGTH-ARTIFACT
failed_crank_rate_last90,0.7404,0.7404,0.0,SURVIVES
vsi_range_trend,0.7321,0.7321,-0.0,SURVIVES
vsi_std_ratio_60d [B2],0.9,0.8179,0.0821,PARTIAL
vsi_std_ratio_90d [B2],0.975,0.8536,0.1214,PARTIAL
vsi_withinwk_std_ratio_30d [B2],0.9679,0.9214,0.0465,SURVIVES
vsi_rollstd4_last_ratio [B2],0.9357,0.8857,0.05,SURVIVES
vsi_trend_persistence [B2],0.7393,0.7393,0.0,SURVIVES
below21_rate_ratio_90 [B2],0.7464,0.6429,0.1035,PARTIAL
