VIN,ft_nunique,ft_first,ft_nulls,sale_nunique,jco_nunique,saledate,jcopendate,t_min,t_max,rows,rows_after_jco,rows_on_jco_day,gap_jco_minus_lastts_days,firstts_minus_sale_days,life_days_sale_to_jco
VIN1,1,Starter Motor,0,1,1,2024-09-30,2025-11-26,2024-09-30T16:21:41.000000,2025-09-15T08:10:22.000000,1303473,0,0,72,0,422
VIN10,1,Starter Motor,0,1,1,2024-06-30,2025-12-29,2024-07-01T16:02:28.000000,2025-12-29T23:57:08.000000,1837988,0,10167,0,1,547
VIN11,1,Starter Motor,0,1,1,2024-03-27,2025-11-22,2024-03-27T12:47:27.000000,2025-11-22T23:45:55.000000,2702394,0,6984,0,0,605
VIN12,1,Starter Motor,0,1,1,2024-12-13,2025-12-07,2024-12-27T06:33:47.000000,2025-12-07T23:54:55.000000,2490690,0,10165,0,14,359
VIN13,1,Starter Motor,0,1,1,2024-07-31,2025-11-06,2024-07-31T00:11:46.000000,2025-11-06T23:55:54.000000,1629920,0,1390,0,0,463
VIN14,1,Starter Motor,0,1,1,2024-06-30,2025-11-17,2024-07-03T17:01:38.000000,2025-11-17T23:59:55.000000,2883142,0,11799,0,3,505
VIN2,1,Starter Motor,0,1,1,2025-06-25,2025-12-13,2025-06-27T09:26:53.000000,2025-12-13T23:58:46.000000,843430,0,12636,0,2,171
VIN3,1,Starter Motor,0,1,1,2025-04-08,2025-12-16,2025-04-08T00:11:46.000000,2025-12-16T23:50:54.000000,1165335,0,2876,0,0,252
VIN4,1,Starter Motor,0,1,1,2025-03-05,2025-11-07,2025-03-05T16:57:15.000000,2025-08-02T06:55:49.000000,1227142,0,0,97,0,247
VIN5,1,Starter Motor,0,1,1,2024-04-30,2025-11-28,2024-04-30T00:13:45.000000,2025-10-27T16:20:21.000000,1275868,0,0,32,0,577
VIN6,1,Starter Motor,0,1,1,2024-09-30,2025-11-04,2024-10-03T17:33:31.000000,2025-11-04T23:53:54.000000,2219533,0,410,0,3,400
VIN7,1,Starter Motor,0,1,1,2024-04-30,2025-11-08,2024-04-30T15:26:34.000000,2025-11-08T23:59:54.000000,2733480,0,6087,0,0,557
VIN8,1,Starter Motor,0,1,1,2024-01-31,2025-12-02,2024-01-31T00:03:34.000000,2025-10-26T23:09:22.000000,4802641,0,0,37,0,671
VIN9,1,Starter Motor,0,1,1,2024-01-31,2025-11-18,2024-01-31T00:25:33.000000,2025-06-29T19:34:22.000000,3810537,0,0,142,0,657
