vin_label,month,rows,vsi_nulls,sma_nulls,eng_on_rows,vsi_nulls_engon,sma_nulls_engon,vsi_nulls_engoff,sma_nulls_engoff,vsi_needs_rescale,ged_nulls
VIN10_F_SM,2024-07-01T00:00:00.000000,85787,2346,2346,66667,0,0,2346,2346,0,2346
VIN10_F_SM,2024-08-01T00:00:00.000000,94450,3015,3015,91330,0,0,3015,3015,0,3015
VIN10_F_SM,2024-09-01T00:00:00.000000,59329,1898,1898,56702,0,0,1898,1898,0,1898
VIN10_F_SM,2025-01-01T00:00:00.000000,54812,697,697,53923,0,0,697,697,0,697
VIN10_F_SM,2025-02-01T00:00:00.000000,148130,2539,2539,144198,0,0,2539,2539,0,2539
VIN10_F_SM,2025-03-01T00:00:00.000000,105161,4036,4036,100462,0,0,4036,4036,0,4036
VIN10_F_SM,2025-04-01T00:00:00.000000,81110,3949,3948,76632,0,0,3949,3948,0,3948
VIN10_F_SM,2025-05-01T00:00:00.000000,128301,2782,2782,125184,0,0,2782,2782,0,2782
VIN10_F_SM,2025-06-01T00:00:00.000000,147695,2515,2515,144819,0,0,2515,2515,0,2515
VIN10_F_SM,2025-07-01T00:00:00.000000,183572,2840,2838,178348,0,0,2840,2838,0,2838
VIN10_F_SM,2025-08-01T00:00:00.000000,122312,2662,2662,118570,0,0,2662,2662,0,4902
VIN10_F_SM,2025-09-01T00:00:00.000000,191668,3020,3017,182390,0,0,3020,3017,0,3020
VIN10_F_SM,2025-10-01T00:00:00.000000,154140,3573,3573,149758,0,0,3573,3573,0,6659
VIN10_F_SM,2025-11-01T00:00:00.000000,77949,3050,3049,74376,0,0,3050,3049,0,3049
VIN10_F_SM,2025-12-01T00:00:00.000000,203572,5519,5519,192132,0,0,5519,5519,0,5519
VIN11_F_SM,2024-03-01T00:00:00.000000,3806,437,437,3101,0,0,437,437,0,437
VIN11_F_SM,2024-04-01T00:00:00.000000,98314,4351,4351,91526,0,0,4351,4351,0,4351
VIN11_F_SM,2024-05-01T00:00:00.000000,222125,6360,6360,205004,0,0,6360,6360,0,6360
VIN11_F_SM,2024-06-01T00:00:00.000000,224415,2382,2382,217292,0,0,2382,2382,0,2382
VIN11_F_SM,2024-07-01T00:00:00.000000,197827,2661,2661,189043,0,0,2661,2661,0,2661
VIN11_F_SM,2024-08-01T00:00:00.000000,150761,2811,2811,143745,0,0,2811,2811,0,2811
VIN11_F_SM,2024-09-01T00:00:00.000000,108763,1613,1613,105400,0,0,1613,1613,0,1613
VIN11_F_SM,2025-03-01T00:00:00.000000,226143,2876,2873,219236,0,0,2876,2873,0,2873
VIN11_F_SM,2025-04-01T00:00:00.000000,211334,3170,3163,205515,0,0,3170,3163,0,3164
VIN11_F_SM,2025-05-01T00:00:00.000000,205587,2858,2858,197379,0,0,2858,2858,0,2858
VIN11_F_SM,2025-06-01T00:00:00.000000,235445,3122,3122,230443,0,0,3122,3122,0,3122
VIN11_F_SM,2025-07-01T00:00:00.000000,164088,4744,4744,157607,0,0,4744,4744,0,4744
VIN11_F_SM,2025-08-01T00:00:00.000000,188675,3189,3189,181064,0,0,3189,3189,0,3189
VIN11_F_SM,2025-09-01T00:00:00.000000,173215,3091,3091,168319,0,0,3091,3091,0,3091
VIN11_F_SM,2025-10-01T00:00:00.000000,157044,3569,3569,152420,0,0,3569,3569,0,3569
VIN11_F_SM,2025-11-01T00:00:00.000000,134852,3813,3812,127709,0,0,3813,3812,0,3941
VIN12_F_SM,2024-12-01T00:00:00.000000,34152,383,383,31594,0,0,383,383,0,383
VIN12_F_SM,2025-01-01T00:00:00.000000,210488,2635,2635,190892,0,0,2635,2635,0,2635
VIN12_F_SM,2025-02-01T00:00:00.000000,194690,3665,3806,179563,1,0,3664,3806,0,3928
VIN12_F_SM,2025-03-01T00:00:00.000000,235951,4100,4117,215810,1,0,4099,4117,0,7762
VIN12_F_SM,2025-04-01T00:00:00.000000,190520,3401,3401,176971,0,0,3401,3401,0,37175
VIN12_F_SM,2025-05-01T00:00:00.000000,207178,3638,3638,190453,0,0,3638,3638,0,32730
VIN12_F_SM,2025-06-01T00:00:00.000000,218384,4835,5301,207149,0,0,4835,5301,0,45884
VIN12_F_SM,2025-07-01T00:00:00.000000,227786,3202,3200,219260,0,0,3202,3200,0,222413
VIN12_F_SM,2025-08-01T00:00:00.000000,223609,2717,2717,212041,0,0,2717,2717,0,219984
VIN12_F_SM,2025-09-01T00:00:00.000000,200639,2663,2663,178352,0,0,2663,2663,0,192027
VIN12_F_SM,2025-10-01T00:00:00.000000,233426,2797,2797,211482,0,0,2797,2797,0,225573
