vin_label,rowsday_final30,rowsday_31_90,rowsday_baseline_gt90,ndays_obs_final30,density_ratio_final30
VIN10_F_SM,7182.677419354839,3611.762711864407,4301.32208588957,31,1.6698766741782758
VIN10_NF_SM,7535.935483870968,6995.241379310345,7618.879518072289,31,0.9891133553162804
VIN11_F_SM,5946.709677419355,5664.65,6153.014124293785,31,0.9664709941002925
VIN11_NF_SM,11296.451612903225,9448.275862068966,9427.014962593516,31,1.1983063204765934
VIN12_F_SM,8649.58064516129,7575.566666666667,6988.217391304348,31,1.2377377750045708
VIN12_NF_SM,4728.931034482759,5392.9,4308.834384858044,29,1.0974965877317084
VIN13_F_SM,3628.2903225806454,4791.9,3333.140921409214,31,1.0885499317702552
VIN13_NF_SM,8143.322580645161,9701.433333333332,7007.26558891455,31,1.1621255791314442
VIN14_F_SM,6798.0,7157.166666666667,6128.3442622950815,31,1.1092718863437563
VIN14_NF_SM,4787.741935483871,4136.25,4818.71178343949,31,0.993573002630692
VIN15_NF_SM,5390.0,5746.137931034483,4258.860759493671,31,1.2655966711249813
VIN16_NF_SM,6905.862068965517,11131.9,9150.006172839507,29,0.754738514763475
VIN17_NF_SM,7600.419354838709,8621.683333333332,7143.517711171662,31,1.0639603150913315
VIN18_NF_SM,9200.111111111111,7443.7169811320755,6463.552380952381,18,1.423383082377915
VIN19_NF_SM,5431.612903225807,5777.4,6040.338551859099,31,0.8992232565431388
VIN1_F_SM,129.33333333333334,1756.4772727272727,4751.162790697675,3,0.027221406428454886
VIN1_NF_SM,7147.193548387097,7180.45,6983.29945553539,31,1.0234694350278497
VIN20_NF_SM,6225.0,1611.392857142857,7585.948051948052,31,0.820596180908652
VIN2_F_SM,6268.322580645161,5084.178571428572,4794.710526315789,31,1.3073411932256276
VIN2_NF_SM,4838.8387096774195,5012.766666666666,4847.666107382551,31,0.9981790417265562
VIN3_F_SM,4753.322580645161,5245.7,4479.235668789809,31,1.061190553952122
VIN3_NF_SM,4549.258064516129,5328.05,4670.146179401993,31,0.97411470428505
VIN4_F_SM,7564.419354838709,7620.0,8924.083333333334,31,0.8476410486423863
VIN4_NF_SM,5188.612903225807,6793.15,6432.750503018108,31,0.8065932140211907
VIN5_F_SM,659.0,,5849.582568807339,1,0.11265761141899093
VIN5_NF_SM,6042.806451612903,6657.566666666667,6907.932203389831,31,0.8747634275634036
VIN6_F_SM,5267.741935483871,5361.983333333334,5686.931147540984,31,0.9262890298507712
VIN6_NF_SM,6914.4838709677415,5418.471698113208,5929.527027027027,31,1.1661105244062877
VIN7_F_SM,6763.935483870968,4552.28813559322,4978.395143487859,31,1.3586578182165268
VIN7_NF_SM,4557.419354838709,5280.85,5745.380487804878,31,0.7932319477382342
VIN8_F_SM,8456.222222222223,9403.933333333332,8717.580434782609,27,0.9700194091106309
VIN8_NF_SM,4388.709677419355,5310.416666666667,4816.986688851914,31,0.9110902647035061
VIN9_F_SM,7514.137931034483,9100.2,7394.696601941748,29,1.0161522961011507
VIN9_NF_SM,3727.8571428571427,5909.033333333334,5206.061594202899,28,0.716060898512653
