vin_label,rows,dt_median,dt_p99,n_dt_le6s,n_dt_6_60s,n_gaps_1h_1d,n_gaps_gt1d,sum_gap_gt1d_s,max_gap_s,t_start,t_end
VIN10_F_SM,1837988,5.0,900.0,1802562,4308,5,4,11690260,10842272,2024-07-01T16:02:28.000000,2025-12-29T23:57:08.000000
VIN10_NF_SM,3169970,5.0,6.0,3141038,5805,31,2,371704,285050,2024-01-01T05:29:59.000000,2025-02-26T08:42:00.000000
VIN11_F_SM,2702394,5.0,501.0,2666986,5351,6,3,14251245,14059037,2024-03-27T12:47:27.000000,2025-11-22T23:45:55.000000
VIN11_NF_SM,4682465,5.0,6.0,4634125,21433,69,8,2724625,1084246,2023-12-31T20:14:05.000000,2025-05-27T07:29:01.000000
VIN12_F_SM,2490690,5.0,121.0,2456053,8220,1,1,284805,284805,2024-12-27T06:33:47.000000,2025-12-07T23:54:55.000000
VIN12_NF_SM,3192824,5.0,903.0,3137453,2959,38,7,5498004,2424756,2024-01-01T05:30:01.000000,2026-02-18T01:26:19.000000
VIN13_F_SM,1629920,5.0,900.0,1583465,7840,7,2,607187,321525,2024-07-31T00:11:46.000000,2025-11-06T23:55:54.000000
VIN13_NF_SM,3869661,5.0,6.0,3838471,2988,39,21,6161855,1016743,2024-01-01T05:40:28.000000,2025-07-28T07:15:38.000000
VIN14_F_SM,2883142,5.0,299.0,2838517,10544,2,6,4622319,3124492,2024-07-03T17:01:38.000000,2025-11-17T23:59:55.000000
VIN14_NF_SM,3424679,5.0,900.0,3357183,10122,19,7,4357885,1994320,2024-01-19T11:06:19.000000,2026-02-18T01:26:57.000000
VIN15_NF_SM,3195196,5.0,900.0,3117022,14122,13,8,3204604,1254717,2024-01-30T01:23:27.000000,2026-02-18T01:29:55.000000
VIN16_NF_SM,5317190,5.0,15.0,5237182,47167,21,22,18496461,4336560,2024-01-12T12:31:08.000000,2026-02-16T11:31:33.000000
VIN17_NF_SM,3374666,5.0,30.0,3334573,9118,5,6,11335479,5928588,2024-07-17T20:09:55.000000,2026-02-18T01:26:56.000000
VIN18_NF_SM,4643257,5.0,60.0,3719186,212972,35,34,18972168,7454549,2024-03-22T22:00:17.000000,2026-02-11T05:37:55.000000
VIN19_NF_SM,3602136,5.0,517.0,3556513,4771,13,13,5918777,1761170,2024-05-03T10:45:52.000000,2026-02-18T00:43:54.000000
VIN1_F_SM,1303473,5.0,900.0,1269821,7168,11,5,4457036,3055892,2024-09-30T16:21:41.000000,2025-09-15T08:10:22.000000
VIN1_NF_SM,4504567,5.0,16.0,4448965,10914,9,13,10406348,2772567,2024-02-02T18:12:43.000000,2026-02-18T01:17:56.000000
VIN20_NF_SM,4374109,5.0,23.0,4324670,7501,30,5,1272933,402832,2024-01-01T05:29:51.000000,2025-09-26T11:40:04.000000
VIN2_F_SM,843430,5.0,898.0,829671,1394,5,5,991594,331474,2025-06-27T09:26:53.000000,2025-12-13T23:58:46.000000
VIN2_NF_SM,3344219,5.0,899.0,3283554,6787,17,11,7107870,1929463,2024-01-22T15:37:37.000000,2026-02-18T01:31:52.000000
VIN3_F_SM,1165335,5.0,899.0,1144001,1339,4,1,495719,495719,2025-04-08T00:11:46.000000,2025-12-16T23:50:54.000000
VIN3_NF_SM,3272661,5.0,899.0,3210717,8778,6,3,1187275,470215,2024-03-18T14:56:12.000000,2026-02-18T01:27:54.000000
VIN4_F_SM,1227142,5.0,6.0,1215333,2491,3,0,0,,2025-03-05T16:57:15.000000,2025-08-02T06:55:49.000000
VIN4_NF_SM,3771217,5.0,264.0,3695828,25621,8,10,10210590,2954919,2024-03-22T21:47:16.000000,2026-02-13T01:08:56.000000
VIN5_F_SM,1275868,5.0,627.0,1258069,2291,3,2,28472227,28358434,2024-04-30T00:13:45.000000,2025-10-27T16:20:21.000000
VIN5_NF_SM,4255968,5.0,39.0,4202799,10262,25,13,6584336,1963856,2024-04-03T08:20:43.000000,2026-02-17T09:52:05.000000
VIN6_F_SM,2219533,5.0,895.0,2186506,4089,4,3,514891,286168,2024-10-03T17:33:31.000000,2025-11-04T23:53:54.000000
VIN6_NF_SM,3573730,5.0,445.0,3516381,13086,21,16,11890032,5601450,2024-02-28T13:52:19.000000,2026-02-18T01:29:56.000000
VIN7_F_SM,2733480,5.0,899.0,2664078,23391,6,4,1644309,979353,2024-04-30T15:26:34.000000,2025-11-08T23:59:54.000000
VIN7_NF_SM,3996381,5.0,845.0,3925189,12975,13,8,2691822,1190745,2024-02-22T09:09:19.000000,2026-02-18T01:21:57.000000
VIN8_F_SM,4802641,5.0,6.0,4761274,12068,32,6,8280551,3495599,2024-01-31T00:03:34.000000,2025-10-26T23:09:22.000000
VIN8_NF_SM,3350069,5.0,899.0,3284589,10167,15,9,3393486,1205363,2024-03-01T20:18:06.000000,2026-02-18T01:31:52.000000
VIN9_F_SM,3810537,5.0,6.0,3775545,3901,18,18,3090902,286197,2024-01-31T00:25:33.000000,2025-06-29T19:34:22.000000
VIN9_NF_SM,3335531,5.0,899.0,3280720,7648,20,17,7953270,1886641,2024-02-27T18:11:45.000000,2026-02-10T23:48:40.000000
