vin_label,max_stuck_run,n_runs_ge30min,run_p999,drive_rows,vsi_drive_median,vsi_drive_mean,vsi_drive_std,vsi_drive_p05,vsi_drive_p95
VIN10_F_SM,1978,4,72.0,1038859,27.8,27.72913,0.40859243,27.0,28.0
VIN10_NF_SM,24,0,8.0,518105,27.8,27.872162,0.23802005,27.6,28.2
VIN11_F_SM,350,0,111.0,1924755,28.2,28.086462,0.18263948,27.8,28.2
VIN11_NF_SM,40,0,8.0,504873,28.0,28.013771,0.25137252,27.8,28.2
VIN12_F_SM,517,1,67.0,1601601,27.6,27.598568,0.24689789,27.2,28.0
VIN12_NF_SM,12,0,4.0,398822,28.0,28.000269,0.17347385,27.8,28.2
VIN13_F_SM,1144,18,62.0,1090934,28.2,28.585648,0.97288114,27.6,30.6
VIN13_NF_SM,24,0,8.0,2581380,28.2,28.318695,0.521882,27.6,29.2
VIN14_F_SM,299,0,56.0,2041516,28.0,28.096893,0.7121998,27.39,29.39
VIN14_NF_SM,4816,52,92.0,2430926,28.0,28.077538,0.27000347,27.8,28.2
VIN15_NF_SM,1107,18,112.0,1989325,28.0,27.985758,0.11844713,27.8,28.2
VIN16_NF_SM,2214,84,119.0,3414748,28.0,28.008116,0.27182043,27.8,28.2
VIN17_NF_SM,324,0,90.0,2174202,28.0,27.960615,0.2825945,27.39,28.2
VIN18_NF_SM,864,15,126.0,3248900,28.2,28.191553,0.096284255,28.0,28.39
VIN19_NF_SM,550,2,99.0,2629321,28.2,28.11678,0.11125517,28.0,28.2
VIN1_F_SM,837,4,99.0,822513,28.0,28.053574,0.12113696,28.0,28.2
VIN1_NF_SM,991,10,120.0,2784181,28.0,28.066753,0.12612537,27.8,28.2
VIN20_NF_SM,32,0,8.0,810965,28.0,27.991072,0.3841119,27.6,28.2
VIN2_F_SM,1151,10,98.0,569861,27.6,27.597874,0.12127504,27.39,27.8
VIN2_NF_SM,326,0,88.0,2298935,28.0,28.073147,0.13397221,27.8,28.2
VIN3_F_SM,109,0,21.0,490131,28.2,28.422077,0.94672966,27.2,30.2
VIN3_NF_SM,1373,24,113.0,2506088,28.0,27.980036,0.1161104,27.8,28.2
VIN4_F_SM,584,4,137.0,826610,28.2,28.13478,0.11194898,28.0,28.2
VIN4_NF_SM,2460,89,176.0,2687546,28.0,27.968163,0.09556242,27.8,28.0
VIN5_F_SM,271,0,83.0,910492,27.6,27.58475,0.27192208,27.39,28.0
VIN5_NF_SM,3033,4,96.0,2645102,28.0,28.077894,0.12630899,28.0,28.2
VIN6_F_SM,1056,3,58.0,1578840,28.0,28.181673,0.81374484,27.39,29.8
VIN6_NF_SM,846,3,106.0,2262352,28.0,28.016289,0.13674204,27.8,28.2
VIN7_F_SM,2545,112,134.0,1709620,27.8,27.809563,0.1922957,27.6,28.0
VIN7_NF_SM,42133,54,163.0,3100507,27.8,27.820456,0.22402655,27.6,28.0
VIN8_F_SM,13,0,5.0,632375,27.8,27.826612,0.21583225,27.6,28.0
VIN8_NF_SM,1240,12,132.0,2050160,28.0,27.915611,0.13577121,27.8,28.2
VIN9_F_SM,14,0,5.0,475072,28.0,27.986935,0.17832126,27.8,28.2
VIN9_NF_SM,3024,31,164.0,1986781,27.6,27.527225,0.115058966,27.39,27.6
