vsi,n
8.0,156
8.19,183
8.2,2
8.4,123
8.6,65
8.8,120
9.0,88
9.19,100
9.2,1
9.4,125
9.6,106
9.8,132
10.0,52
10.19,47
10.2,3
10.4,164
10.6,103
10.8,124
11.0,127
11.19,83
11.2,1
11.4,87
11.6,344
11.8,103
12.0,142
12.19,215
12.2,1
12.4,364
12.6,321
12.8,328
13.0,307
13.19,207
13.2,5
13.4,182
13.6,417
13.8,572
14.0,456
14.19,684
14.2,29
14.4,1003
14.6,1619
14.8,815
15.0,483
15.19,376
15.2,23
15.4,437
15.6,914
15.8,724
16.0,1439
16.2,514
16.39,217
16.4,33
16.6,489
16.8,388
17.0,421
17.2,499
17.39,387
17.4,42
17.6,512
17.8,455
18.0,539
18.2,878
18.39,640
18.4,86
18.6,667
18.8,898
19.0,1376
19.2,911
19.39,1384
19.4,223
19.6,1265
19.8,1360
20.0,2384
20.2,2603
20.39,2511
20.4,302
20.6,2806
20.8,3588
21.0,4371
21.2,9428
21.39,7192
21.4,377
21.6,12451
21.8,15296
22.0,14716
22.2,14319
22.39,14535
22.4,1202
22.6,13032
22.8,15210
23.0,20931
23.2,27809
23.39,39400
23.4,4068
23.6,75403
23.8,112183
24.0,212227
24.2,380441
24.39,428711
24.4,28772
24.6,528543
24.8,547338
25.0,425856
25.2,318051
25.39,203277
25.4,28546
25.6,131391
25.8,92157
26.0,74223
26.2,63854
26.39,63364
26.4,9720
26.6,89474
26.8,115929
27.0,219030
27.2,484544
27.39,2520767
27.4,117668
27.6,6595670
27.8,14775786
28.0,31720857
28.2,20429126
28.39,1254556
28.4,483273
28.6,713931
28.8,583925
29.0,357241
29.2,254083
29.39,148224
29.4,64854
29.6,133813
29.8,103511
30.0,98606
30.2,63264
30.39,45995
30.4,3947
30.6,46497
30.8,30206
31.0,23835
31.2,22075
31.39,14446
31.4,240
31.6,11657
31.8,11338
32.0,7668
32.2,6397
32.4,6471
32.6,4200
32.79,3446
32.8,5
33.0,3469
33.2,2231
33.4,1715
33.6,1521
33.79,881
33.8,2
34.0,645
34.2,527
34.4,322
34.6,332
34.79,310
35.0,187
35.2,161
35.4,151
35.6,75
35.79,60
36.0,46
51.0,9
