vin_label,n_bouts_ge3h,bout_hours_median,rest_slope_vph_median,rest_slope_vph_p10,vsi_settled_median,vsi_settled_p05,vsi_bout_start_median
VIN10_F_SM,2,14.033749999999998,-0.13989739587141356,-0.2023950075898128,24.1,24.0,25.095
VIN10_NF_SM,3,3.787777777777778,0.1056027153644019,-0.10476526931313092,25.6,25.4,25.0
VIN11_F_SM,3,4.4366666666666665,-0.11671248392843121,-0.584415425174975,24.39,24.2,25.2
VIN11_NF_SM,183,4.568611111111111,-0.12523905259253648,-0.49953725357832013,25.6,25.2,26.0
VIN12_F_SM,6,3.4450000000000003,-0.45950550208530194,-0.4905305124103527,24.5,23.2,26.0
VIN12_NF_SM,4,3.5727777777777776,-0.23859167583371083,-3.7712789175032735,24.4,24.1,25.5
VIN13_F_SM,2,4.217499999999999,-0.1590910677384901,-0.21527237935777074,22.7,21.2,23.195
VIN13_NF_SM,12,3.6222222222222222,-0.09276428475218917,-0.3980462434466924,28.3,27.4,28.4
VIN14_NF_SM,16,4.151666666666666,-0.2429468488970527,-0.3911976709342528,24.2,24.0,25.295
VIN15_NF_SM,58,4.073333333333333,-0.18507770603025225,-0.5966686003149084,24.2,23.0,25.0
VIN16_NF_SM,1,4.147222222222222,0.33757525965900764,0.33757525965900764,24.39,24.39,24.6
VIN17_NF_SM,34,3.6779166666666665,-0.14788640049460383,-0.4264456484260765,24.8,24.2,25.8
VIN18_NF_SM,1,3.871111111111111,-0.15757765479805003,-0.15757765479805003,24.6,24.6,25.0
VIN1_F_SM,14,4.158888888888889,-0.2764660564239391,-1.9556763187014945,25.0,24.39,25.8
VIN1_NF_SM,3,3.332777777777778,0.06064144530674245,-0.06301079934627776,25.0,24.39,24.6
VIN20_NF_SM,11,3.604722222222222,-0.166448437488712,-1.0498492554567533,25.2,24.6,26.0
VIN2_F_SM,1,7.493611111111111,-0.08140275780352245,-0.08140275780352245,23.6,23.6,24.0
VIN2_NF_SM,1,14.571944444444444,-0.040488773124085595,-0.040488773124085595,25.0,25.0,25.39
VIN3_F_SM,20,3.770277777777778,-0.4473076395334507,-1.643847377998845,22.400002,21.39,24.3
VIN3_NF_SM,10,4.947916666666667,-0.22188721044045917,-0.29607698001480387,24.39,24.0,25.8
VIN4_F_SM,7,3.992777777777778,-0.14887320789103423,-0.25045220537080837,24.6,24.2,25.0
VIN4_NF_SM,18,3.9804166666666667,-0.13138680929658836,-0.23797141908152955,24.39,24.0,24.8
VIN5_NF_SM,8,4.257777777777778,-0.34497433151045465,-0.6948399645739105,24.7,15.6,25.5
VIN6_F_SM,6,3.926527777777778,-0.17738044318159202,-0.20889783966241537,24.7,23.8,25.295
VIN6_NF_SM,18,4.8334722222222215,-0.11680985839019031,-0.22579026593075763,25.400002,24.6,25.39
VIN7_F_SM,18,3.477222222222222,-0.1577159311280627,-0.4619001534976099,24.2,23.8,24.7
VIN7_NF_SM,5,3.8825,-0.23042435887171717,-0.636604774535809,24.2,23.6,25.0
VIN8_F_SM,189,4.4319444444444445,-0.1519734004125432,-0.4836812756372941,24.4,23.6,25.8
VIN8_NF_SM,29,4.856944444444444,-0.12311948470964967,-0.5380592415423662,24.39,23.2,25.0
VIN9_NF_SM,2,3.8794444444444443,-0.31236969836718237,-0.47295797776935766,24.1,24.0,25.2
