feature,auroc_F_high,auroc_directional,p_mwu,nF,nNF,mean_F,mean_NF
n_weeks,0.048,0.952,0.0,14,20,55.0,93.3
active_days_total,0.054,0.946,0.0,14,20,371.0714,616.35
total_rows,0.111,0.889,0.0001,14,20,2208969.5,3775979.4
n_gaps_1h_1d,0.125,0.875,0.0003,14,20,7.6429,22.35
n_gaps_gt1d,0.132,0.868,0.0003,14,20,4.2857,11.65
vsi_settled_p05,0.266,0.734,0.0361,11,19,23.3982,23.9621
vsi_drive_std_med,0.732,0.732,0.024,14,20,0.223,0.1366
vsi_rest_p05_med,0.271,0.729,0.0242,14,20,24.0107,24.2927
vsi_settled_median,0.285,0.715,0.0544,11,19,24.0536,24.8874
vsi_rest_median_med,0.311,0.689,0.0582,14,20,24.5421,24.8095
vsi_drive_std,0.689,0.689,0.0662,14,20,0.3926,0.1964
n_events,0.343,0.657,0.128,14,20,453.6429,705.35
min_vsi_crank_med,0.37,0.63,0.2019,14,20,21.4779,21.6985
baseline_vsi_med,0.377,0.623,0.2341,14,20,26.2962,26.7969
vsi_drive_p95_q90,0.621,0.621,0.2026,14,20,28.9971,28.2785
vsi_bout_start_median,0.385,0.615,0.3089,11,19,24.9441,25.4355
weeks_lt2_active,0.389,0.611,0.2442,14,20,0.5714,0.85
n_runs_ge30min,0.389,0.611,0.2716,14,20,11.1429,19.9
rest_slope_vph_median,0.392,0.608,0.3437,11,19,-0.2106,-0.125
max_stuck_run,0.4,0.6,0.3359,14,20,776.2857,3271.65
events_per_active_day,0.586,0.586,0.4109,14,20,1.146,1.2407
rpm_mean_med,0.425,0.575,0.4732,14,20,895.9436,922.0978
dip_depth_med,0.425,0.575,0.4732,14,20,4.6529,4.6988
sma1_per_active_day,0.571,0.571,0.495,14,20,1.2974,1.4036
vsi_drive_median,0.434,0.566,0.4916,14,20,27.9286,27.99
rows_per_week,0.439,0.561,0.5637,14,20,39820.3791,41426.9871
dt_p99,0.559,0.559,0.5729,14,20,561.2143,428.55
bout_hours_median,0.555,0.555,0.6359,11,19,5.2167,4.6116
vsi_drive_mean_med,0.454,0.546,0.6618,14,20,27.9487,27.9989
ged3_rate,0.457,0.543,0.5449,14,20,0.0,0.0002
success_rate,0.457,0.543,0.6874,14,20,0.896,0.9153
recovery_slope_med,0.459,0.541,0.6994,14,20,1.1685,1.1946
min_vsi_crank_p05,0.459,0.541,0.6992,14,20,16.9279,17.1895
anr_pos_mean_med,0.536,0.536,0.7396,14,20,425.2729,432.5337
n_bouts_ge3h,0.467,0.533,0.7791,11,19,24.3636,21.9474
dip_depth_p90,0.532,0.532,0.7661,14,20,8.104,7.8404
vsi_above32_rate,0.471,0.529,0.7816,14,20,0.0012,0.0
rest_slope_vph_p10,0.474,0.526,0.8296,11,19,-0.598,-0.5402
retry_rate,0.521,0.521,0.8474,14,20,0.0688,0.0459
vsi_below21_rate,0.486,0.514,0.9025,14,20,0.0006,0.0005
rpm_max15_p10,0.488,0.512,0.9162,14,20,443.3307,448.5315
rows_week_cv,0.511,0.511,0.9303,14,20,0.4496,0.4436
csp_mean_med,0.507,0.507,0.9581,14,20,25.2557,26.0209
crank_dur_med_ms,0.507,0.507,0.9552,14,20,8.3214,7.6
rpm_max15_med,0.5,0.5,1.0,14,20,694.1189,692.8587
