vin_label,failed,total_rows,n_weeks,active_days_total,rows_per_week,vsi_rest_median_med,vsi_rest_p05_med,vsi_drive_mean_med,vsi_drive_std_med,vsi_drive_p95_q90,vsi_below21_rate,vsi_above32_rate,rpm_mean_med,csp_mean_med,anr_pos_mean_med,sma1_per_active_day,ged3_rate,rows_week_cv,weeks_lt2_active,n_events,crank_dur_med_ms,dip_depth_med,dip_depth_p90,recovery_slope_med,rpm_max15_med,rpm_max15_p10,success_rate,retry_rate,baseline_vsi_med,min_vsi_crank_med,min_vsi_crank_p05,n_gaps_1h_1d,n_gaps_gt1d,dt_p99,vsi_drive_median,vsi_drive_std,n_runs_ge30min,max_stuck_run,n_bouts_ge3h,bout_hours_median,rest_slope_vph_median,rest_slope_vph_p10,vsi_settled_median,vsi_settled_p05,vsi_bout_start_median,events_per_active_day
VIN5_NF_SM,false,4254893,96,622,44321.802083333336,25.0,24.6,28.087051,0.112952076,28.2,0.0029666657861106916,1.9388388439576452e-6,902.5359,17.634262,361.40967,1.54983922829582,0.0,0.4847266545611297,2,761,10.0,4.78147029876709,7.798236846923828,1.0,873.1099853515625,198.72000122070312,0.8620236530880421,0.07227332457293036,27.988235473632812,22.389999389648438,18.200000762939453,25,13,39.0,28.0,0.12630899,4,3033,8,4.257777777777778,-0.34497433151045465,-0.6948399645739105,24.7,15.6,25.5,1.2234726688102895
VIN1_F_SM,true,1303473,47,305,27733.468085106382,24.8,24.39,28.05189,0.115524136,28.2,0.00016223283274431152,0.0,865.7575,20.868744,426.8325,1.9540983606557376,0.0,0.6289718307869295,3,546,10.0,3.8571434020996094,6.55999755859375,1.1220001220703124,633.5150146484375,418.2300109863281,0.8974358974358975,0.08974358974358974,25.389999389648438,22.0,18.200000762939453,11,5,900.0,28.0,0.12113696,4,837,14,4.158888888888889,-0.2764660564239391,-1.9556763187014945,25.0,24.39,25.8,1.7901639344262295
VIN8_F_SM,true,4802641,82,547,58568.79268292683,24.6,24.0,27.822227,0.1830824,28.2,0.0006209383824980436,8.506005239699228e-7,719.85455,21.535587,415.6607,3.6288848263254114,0.00005621906780040399,0.4686000758668512,1,1929,5.0,4.749998092651367,7.80000114440918,1.2400001525878905,743.9199829101562,600.7999877929688,0.9258098223615465,0.04250907205806117,26.019999504089355,21.200000762939453,17.600000381469727,32,6,6.0,27.8,0.21583225,0,13,189,4.4319444444444445,-0.1519734004125432,-0.4836812756372941,24.4,23.6,25.8,3.526508226691042
VIN4_NF_SM,false,3765513,90,588,41839.03333333333,24.6,24.295,27.973389,0.09049987,28.2,0.00031458237490388516,0.0,931.7933,27.179398,457.09665,2.107142857142857,0.0,0.45291477685572257,1,1025,10.0,4.887848854064941,8.35293960571289,1.2799999237060546,818.7100219726562,600.7899780273438,0.9151219512195122,0.0702439024390244,26.65799903869629,21.200000762939453,16.600000381469727,8,10,264.0,28.0,0.09556242,89,2460,18,3.9804166666666667,-0.13138680929658836,-0.23797141908152955,24.39,24.0,24.8,1.7431972789115646
VIN13_NF_SM,false,3868675,83,524,46610.5421686747,24.2,23.0,28.302078,0.47579956,29.6,0.0000779885740449623,1.5723502831645626e-6,979.7808,30.38664,410.48145,0.8969465648854962,0.00020187790393351728,0.4086724579532942,2,429,10.0,6.333335876464844,9.376470565795898,1.5200000762939454,616.7999877929688,590.4000244140625,0.9069767441860465,0.023310023310023312,28.244998931884766,20.399999618530273,16.399999618530273,39,21,6.0,28.2,0.521882,0,24,12,3.6222222222222222,-0.09276428475218917,-0.3980462434466924,28.3,27.4,28.4,0.8187022900763359
VIN9_NF_SM,false,3332668,100,640,33326.68,24.6,24.39,27.528416,0.11048664,27.8,0.000038838977574619,0.0,881.8608,29.525497,490.38904,0.2125,0.0,0.462091962911877,1,128,10.0,4.849998474121094,8.46333122253418,1.1200000762939453,617.9150085449219,601.5900268554688,0.9609375,0.0390625,27.140714645385742,21.600000381469727,17.389999389648438,20,17,899.0,27.6,0.115058966,31,3024,2,3.8794444444444443,-0.31236969836718237,-0.47295797776935766,24.1,24.0,25.2,0.2
VIN18_NF_SM,false,3953484,94,596,42058.34042553192,25.2,24.8,28.193514,0.08438675,28.39,0.00013827580127295235,0.000021189611982888573,1057.6875,24.31505,496.1137,0.7634228187919463,0.0,0.5814205901434283,2,385,5.0,4.6220598220825195,7.976470947265625,1.2400001525878905,609.4400024414062,601.9099731445312,0.9714285714285714,0.02857142857142857,27.896227836608887,22.0,17.200000762939453,35,34,60.0,28.2,0.096284255,15,864,1,3.871111111111111,-0.15757765479805003,-0.15757765479805003,24.6,24.6,25.0,0.6459731543624161
VIN9_F_SM,true,3810537,74,501,51493.74324324324,24.8,24.2,27.990536,0.16751131,28.2,0.000270279449139351,0.0,994.7519,27.086933,469.09912,1.407185628742515,0.00009395001281971544,0.41966953109727273,0,684,8.5,5.289999008178711,8.299999237060547,1.1599998474121094,854.8800048828125,601.4400024414062,0.9237668161434978,0.038011695906432746,27.899999618530273,21.799999237060547,17.200000762939453,18,18,6.0,28.0,0.17832126,0,14,,,,,,,,1.3652694610778444
VIN17_NF_SM,false,3374585,68,458,49626.25,25.0,24.6,28.03956,0.124014124,28.2,0.00007584942324339358,0.0,813.0896,24.966969,378.80624,1.331877729257642,0.0,0.32107798154883166,0,597,5.0,3.8050012588500977,6.200000762939453,1.1589998245239257,662.8800048828125,604.3200073242188,0.9916247906197655,0.01507537688442211,25.56424331665039,22.0,18.799999237060547,5,6,30.0,28.0,0.2825945,0,324,34,3.6779166666666665,-0.14788640049460383,-0.4264456484260765,24.8,24.2,25.8,1.3034934497816595
VIN3_NF_SM,false,3272138,101,693,32397.40594059406,24.8,24.39,27.979431,0.10499273,28.2,0.0005147520636906567,0.0,1032.415,29.534885,421.23138,0.37518037518037517,0.0,0.4345157531323721,0,242,5.0,4.3949995040893555,7.57470703125,1.1599998474121094,615.8300170898438,602.8800048828125,0.9752066115702479,0.008264462809917356,25.621176719665527,22.0,17.600000381469727,6,3,899.0,28.0,0.1161104,24,1373,10,4.947916666666667,-0.22188721044045917,-0.29607698001480387,24.39,24.0,25.8,0.3492063492063492
