channel,delta_auroc_F_high,p,mean_dF,mean_dNF,nF,nNF
vsi_drive_std,0.893,0.0001,0.3781,0.0074,14,20
vsi_drive_p95,0.684,0.0412,0.8564,0.029,14,20
rows_per_aday,0.664,0.1113,210.7781,-219.6884,14,20
sma1_per_aday,0.541,0.6999,0.0714,0.1826,14,20
vsi_drive_mean,0.539,0.7133,0.1638,0.0418,14,20
anr_pos_mean,0.482,0.8749,-14.6048,4.0239,14,20
rpm_mean,0.429,0.495,-18.3321,5.7538,14,20
csp_mean,0.425,0.4732,-1.4754,0.7575,14,20
vsi_rest_median,0.402,0.3413,-0.4786,-0.1608,14,20
vsi_rest_p05,0.304,0.0557,-0.7821,-0.18,14,20
