vin,failed,auroc_without,delta
VIN10_F_SM,1,0.9154,-0.006
VIN6_F_SM,1,0.9154,-0.006
VIN11_F_SM,1,0.9154,-0.006
VIN5_F_SM,1,0.9154,-0.006
VIN3_F_SM,1,0.9154,-0.006
VIN1_F_SM,1,0.9154,-0.006
VIN14_F_SM,1,0.9154,-0.006
VIN19_NF_SM,0,0.9173,-0.0041
VIN17_NF_SM,0,0.9173,-0.0041
VIN16_NF_SM,0,0.9173,-0.0041
VIN1_NF_SM,0,0.9173,-0.0041
VIN15_NF_SM,0,0.9173,-0.0041
VIN4_F_SM,1,0.9192,-0.0022
VIN7_F_SM,1,0.9192,-0.0022
VIN13_F_SM,1,0.9192,-0.0022
VIN9_F_SM,1,0.9192,-0.0022
VIN2_F_SM,1,0.9192,-0.0022
VIN7_NF_SM,0,0.9211,-0.0004
VIN6_NF_SM,0,0.9211,-0.0004
VIN10_NF_SM,0,0.9211,-0.0004
VIN5_NF_SM,0,0.9211,-0.0004
VIN11_NF_SM,0,0.9211,-0.0004
VIN4_NF_SM,0,0.9211,-0.0004
VIN14_NF_SM,0,0.9211,-0.0004
VIN2_NF_SM,0,0.9211,-0.0004
VIN20_NF_SM,0,0.9211,-0.0004
VIN12_NF_SM,0,0.9211,-0.0004
VIN18_NF_SM,0,0.9211,-0.0004
VIN13_NF_SM,0,0.9211,-0.0004
VIN3_NF_SM,0,0.9211,-0.0004
VIN12_F_SM,1,0.9231,0.0016
VIN8_NF_SM,0,0.9248,0.0034
VIN9_NF_SM,0,0.9436,0.0222
VIN8_F_SM,1,0.9731,0.0516
