vin,failed,pool_size,pool,winner,k,inner_auroc,inner_youden,prob,pred_foldthr
VIN10_F_SM,1,6,vsi_std_ratio_30d|vsi_dominant_freq|vsi_rest_p05_last90|failed_crank_rate_last90|vsi_range_trend|crank_dur_trend,vsi_std_ratio_30d|vsi_dominant_freq|failed_crank_rate_last90|vsi_range_trend,4,0.9077,0.4387,0.6976,1
VIN10_NF_SM,0,5,vsi_std_ratio_30d|vsi_dominant_freq|vsi_rest_p05_last90|failed_crank_rate_last90|vsi_range_trend,vsi_std_ratio_30d|vsi_dominant_freq|failed_crank_rate_last90|vsi_range_trend,4,0.9211,0.4398,0.3199,0
VIN11_F_SM,1,6,vsi_std_ratio_30d|failed_crank_rate_last90|vsi_dominant_freq|vsi_range_trend|vsi_rest_p05_last90|crank_dur_trend,vsi_std_ratio_30d|failed_crank_rate_last90|vsi_dominant_freq|vsi_range_trend,4,0.9462,0.4271,0.9457,1
VIN11_NF_SM,0,4,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|failed_crank_rate_last90,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|failed_crank_rate_last90,4,0.9211,0.4405,0.3546,0
VIN12_F_SM,1,6,vsi_std_ratio_30d|vsi_dominant_freq|failed_crank_rate_last90|vsi_rest_p05_last90|vsi_range_trend|crank_dur_trend,vsi_std_ratio_30d|vsi_dominant_freq|vsi_rest_p05_last90|crank_dur_trend,4,0.9538,0.4029,0.3505,0
VIN12_NF_SM,0,4,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|failed_crank_rate_last90,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|failed_crank_rate_last90,4,0.9211,0.4411,0.3634,0
VIN13_F_SM,1,5,vsi_std_ratio_30d|vsi_range_trend|failed_crank_rate_last90|vsi_dominant_freq|crank_dur_trend,vsi_std_ratio_30d|vsi_range_trend|failed_crank_rate_last90|vsi_dominant_freq,4,0.9077,0.4569,0.4784,1
VIN13_NF_SM,0,5,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|vsi_rest_p05_last90|failed_crank_rate_last90,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|failed_crank_rate_last90,4,0.9248,0.4515,0.4293,0
VIN14_F_SM,1,4,vsi_std_ratio_30d|vsi_dominant_freq|failed_crank_rate_last90|vsi_range_trend,vsi_std_ratio_30d|vsi_dominant_freq|failed_crank_rate_last90|vsi_range_trend,4,0.9154,0.4285,0.6736,1
VIN14_NF_SM,0,5,vsi_std_ratio_30d|failed_crank_rate_last90|vsi_dominant_freq|vsi_range_trend|vsi_rest_p05_last90,vsi_std_ratio_30d|failed_crank_rate_last90|vsi_dominant_freq|vsi_range_trend,4,0.9211,0.4398,0.3485,0
VIN15_NF_SM,0,5,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|failed_crank_rate_last90|vsi_rest_p05_last90,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|failed_crank_rate_last90,4,0.9173,0.4374,0.263,0
VIN16_NF_SM,0,4,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|failed_crank_rate_last90,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|failed_crank_rate_last90,4,0.9173,0.4369,0.2565,0
VIN17_NF_SM,0,4,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|failed_crank_rate_last90,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|failed_crank_rate_last90,4,0.9173,0.4381,0.2777,0
VIN18_NF_SM,0,4,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|failed_crank_rate_last90,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|failed_crank_rate_last90,4,0.9211,0.4427,0.3743,0
VIN19_NF_SM,0,5,vsi_std_ratio_30d|failed_crank_rate_last90|vsi_dominant_freq|vsi_range_trend|vsi_rest_p05_last90,vsi_std_ratio_30d|failed_crank_rate_last90|vsi_dominant_freq|vsi_range_trend,4,0.9173,0.4381,0.2734,0
VIN1_F_SM,1,5,vsi_std_ratio_30d|vsi_range_trend|vsi_dominant_freq|failed_crank_rate_last90|vsi_rest_p05_last90,vsi_std_ratio_30d|vsi_range_trend|vsi_dominant_freq|failed_crank_rate_last90,4,0.9115,0.4929,0.8789,1
VIN1_NF_SM,0,4,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|failed_crank_rate_last90,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|failed_crank_rate_last90,4,0.9173,0.4358,0.241,0
VIN20_NF_SM,0,5,vsi_std_ratio_30d|vsi_dominant_freq|failed_crank_rate_last90|vsi_range_trend|vsi_rest_p05_last90,vsi_std_ratio_30d|vsi_dominant_freq|failed_crank_rate_last90|vsi_range_trend,4,0.9211,0.4411,0.3959,0
VIN2_F_SM,1,5,vsi_std_ratio_30d|vsi_range_trend|vsi_dominant_freq|failed_crank_rate_last90|crank_dur_trend,vsi_std_ratio_30d|vsi_dominant_freq|failed_crank_rate_last90|crank_dur_trend,4,0.9423,0.4522,0.4632,1
VIN2_NF_SM,0,5,vsi_std_ratio_30d|failed_crank_rate_last90|vsi_dominant_freq|vsi_range_trend|vsi_rest_p05_last90,vsi_std_ratio_30d|failed_crank_rate_last90|vsi_dominant_freq|vsi_range_trend,4,0.9211,0.4385,0.3395,0
VIN3_F_SM,1,5,vsi_std_ratio_30d|failed_crank_rate_last90|vsi_dominant_freq|vsi_range_trend|crank_dur_trend,vsi_std_ratio_30d|vsi_dominant_freq|vsi_range_trend|crank_dur_trend,4,0.9192,0.4368,0.7367,1
VIN3_NF_SM,0,5,vsi_std_ratio_30d|vsi_dominant_freq|failed_crank_rate_last90|vsi_range_trend|vsi_rest_p05_last90,vsi_std_ratio_30d|vsi_dominant_freq|failed_crank_rate_last90|vsi_range_trend,4,0.9211,0.4402,0.3271,0
VIN4_F_SM,1,6,vsi_std_ratio_30d|vsi_range_trend|failed_crank_rate_last90|vsi_rest_p05_last90|vsi_dominant_freq|crank_dur_trend,vsi_std_ratio_30d|vsi_range_trend|vsi_dominant_freq|crank_dur_trend,4,0.9269,0.4259,0.5174,1
VIN4_NF_SM,0,6,vsi_std_ratio_30d|failed_crank_rate_last90|vsi_dominant_freq|vsi_range_trend|vsi_rest_p05_last90|crank_dur_trend,vsi_std_ratio_30d|failed_crank_rate_last90|vsi_dominant_freq|vsi_range_trend,4,0.9211,0.4404,0.3357,0
VIN5_F_SM,1,6,vsi_std_ratio_30d|failed_crank_rate_last90|vsi_dominant_freq|vsi_rest_p05_last90|vsi_range_trend|crank_dur_trend,vsi_std_ratio_30d|vsi_dominant_freq|vsi_rest_p05_last90|crank_dur_trend,4,0.9192,0.4115,0.5207,1
