vin_label,failed,ward_k2,ward_k3,ward_k4,spectral_k2,spectral_k3,n_weeks,t_start,sma_dead,silent_gap
VIN10_F_SM,1,2,3,4,0,0,62,2024-07-01,0,0
VIN10_NF_SM,0,2,3,3,1,2,61,2024-01-01,1,0
VIN11_F_SM,1,2,3,3,0,1,65,2024-03-25,0,0
VIN11_NF_SM,0,2,3,4,0,0,74,2023-12-25,1,0
VIN12_F_SM,1,2,3,4,0,1,50,2024-12-23,0,0
VIN12_NF_SM,0,2,3,4,0,1,106,2024-01-01,1,0
VIN13_F_SM,1,1,1,1,1,2,67,2024-07-29,0,0
VIN13_NF_SM,0,2,3,3,1,2,83,2024-01-01,1,0
VIN14_F_SM,1,2,2,2,0,0,69,2024-07-01,0,0
VIN14_NF_SM,0,2,3,4,0,1,108,2024-01-15,0,0
VIN15_NF_SM,0,2,3,3,0,1,107,2024-01-29,0,0
VIN16_NF_SM,0,2,3,4,0,1,93,2024-01-08,0,0
VIN17_NF_SM,0,2,3,4,0,1,68,2024-07-15,0,0
VIN18_NF_SM,0,2,3,3,0,1,94,2024-03-18,0,0
VIN19_NF_SM,0,2,3,4,0,1,92,2024-04-29,0,0
VIN1_F_SM,1,2,3,4,0,1,47,2024-09-30,0,1
VIN1_NF_SM,0,2,3,4,0,1,99,2024-01-29,0,0
VIN20_NF_SM,0,2,3,3,0,0,91,2024-01-01,1,0
VIN2_F_SM,1,1,1,1,1,2,25,2025-06-23,0,0
VIN2_NF_SM,0,2,3,3,1,2,103,2024-01-22,0,0
VIN3_F_SM,1,1,1,1,1,2,37,2025-04-07,0,0
VIN3_NF_SM,0,2,3,4,0,1,101,2024-03-18,0,0
VIN4_F_SM,1,2,3,4,0,1,22,2025-03-03,0,1
VIN4_NF_SM,0,2,3,3,0,1,90,2024-03-18,0,0
VIN5_F_SM,1,2,2,2,0,0,33,2024-04-29,0,1
VIN5_NF_SM,0,2,3,3,0,0,96,2024-04-01,0,0
VIN6_F_SM,1,1,1,1,1,2,58,2024-09-30,0,0
VIN6_NF_SM,0,2,3,3,1,0,93,2024-02-26,0,0
VIN7_F_SM,1,2,3,4,0,0,79,2024-04-29,0,0
VIN7_NF_SM,0,2,3,4,0,1,104,2024-02-19,0,0
VIN8_F_SM,1,2,3,3,0,1,82,2024-01-29,1,1
VIN8_NF_SM,0,2,3,3,1,2,103,2024-02-26,0,0
VIN9_F_SM,1,2,3,4,0,1,74,2024-01-29,1,1
VIN9_NF_SM,0,2,3,4,0,1,100,2024-02-26,0,0
