feature,r_n_weeks,r_t_start,flag
crank_dur_mean,-0.159,0.188,
crank_dur_trend,-0.184,0.239,
multi_sample_rate,0.024,0.133,
dip_depth_mean,0.034,-0.185,
dip_depth_trend,-0.369,0.325,
dip_depth_last90_delta,-0.219,0.026,
failed_crank_rate,-0.16,-0.168,
failed_crank_rate_last90,-0.292,0.466,WATCH
retry_rate,-0.055,-0.124,
recovery_slope_mean,0.141,-0.066,
recovery_slope_trend,-0.186,0.329,
crank_per_active_day,-0.256,-0.023,
min_vsi_crank_p05,-0.016,0.021,
vsi_std_ratio_30d,-0.404,0.269,
vsi_spectral_entropy,0.141,-0.065,
vsi_range_trend,-0.405,0.328,
progressive_drift,0.133,-0.13,
bat_charge_delta_trend,-0.037,-0.029,
vsi_rest_median_trend,0.211,-0.067,
vsi_rest_p05_last90,0.262,-0.235,
rate_vsi_below_21,0.092,-0.176,
rate_vsi_above_32,0.169,-0.102,
