,PC1,PC2,PC3,PC4
crank_dur_mean,0.038,0.399,0.179,-0.1
crank_dur_trend,0.053,0.3,0.182,0.0
multi_sample_rate,0.034,0.367,0.24,-0.175
dip_depth_mean,0.269,-0.185,0.237,0.168
dip_depth_trend,0.315,0.009,-0.324,-0.162
dip_depth_last90_delta,0.27,-0.009,-0.105,-0.047
failed_crank_rate,0.033,0.367,-0.173,0.313
failed_crank_rate_last90,0.081,0.274,0.032,-0.079
retry_rate,0.006,0.437,-0.046,0.061
recovery_slope_mean,0.227,-0.292,0.119,-0.06
recovery_slope_trend,0.292,0.018,-0.35,-0.239
crank_per_active_day,-0.08,0.056,-0.312,0.597
min_vsi_crank_p05,-0.287,0.055,0.031,0.119
vsi_std_ratio_30d,0.146,0.017,0.015,0.048
vsi_spectral_entropy,-0.138,-0.001,-0.211,0.055
vsi_range_trend,0.14,0.252,0.188,-0.009
progressive_drift,0.055,-0.147,0.514,0.261
bat_charge_delta_trend,0.363,0.005,-0.089,0.145
vsi_rest_median_trend,-0.35,-0.041,0.154,-0.145
vsi_rest_p05_last90,-0.343,-0.04,-0.128,-0.057
rate_vsi_below_21,0.201,-0.023,0.141,0.457
rate_vsi_above_32,0.205,-0.025,0.158,-0.189
