vin_label,n_weeks,t_start,t_end,sma_obs_frac,t_start_ord,sma_dead,silent_gap
VIN10_F_SM,62,2024-07-01,2025-12-29,0.9758246517387491,739068,0,0
VIN10_NF_SM,61,2024-01-01,2025-02-24,0.0008044039300607232,738886,1,0
VIN11_F_SM,65,2024-03-25,2025-11-17,0.9811145229008057,738970,0,0
VIN11_NF_SM,74,2023-12-25,2025-05-26,0.0026010901536693025,738879,1,0
VIN12_F_SM,50,2024-12-23,2025-12-01,0.9846942012052885,739243,0,0
VIN12_NF_SM,106,2024-01-01,2026-02-16,0.0013816697436565665,738886,1,0
VIN13_F_SM,67,2024-07-29,2025-11-03,0.961433689997055,739096,0,0
VIN13_NF_SM,83,2024-01-01,2025-07-28,0.0010269665970907352,738886,1,0
VIN14_F_SM,69,2024-07-01,2025-11-17,0.9759817587895429,739068,0,0
VIN14_NF_SM,108,2024-01-15,2026-02-16,0.9764168886619107,738900,0,0
VIN15_NF_SM,107,2024-01-29,2026-02-16,0.9677615613700146,738914,0,0
VIN16_NF_SM,93,2024-01-08,2026-02-16,0.9913553625744979,738893,0,0
VIN17_NF_SM,68,2024-07-15,2026-02-16,0.9844446057811553,739082,0,0
VIN18_NF_SM,94,2024-03-18,2026-02-09,0.9311027943960315,738963,0,0
VIN19_NF_SM,92,2024-04-29,2026-02-16,0.9780846876017766,739005,0,0
VIN1_F_SM,47,2024-09-30,2025-09-15,0.9646958548431767,739159,0,1
VIN1_NF_SM,99,2024-01-29,2026-02-16,0.9782566861651113,738914,0,0
VIN20_NF_SM,91,2024-01-01,2025-09-22,0.0019068905835469446,738886,1,0
VIN2_F_SM,25,2025-06-23,2025-12-08,0.9668721767070177,739425,0,0
VIN2_NF_SM,103,2024-01-22,2026-02-16,0.9755097262587579,738907,0,0
VIN3_F_SM,37,2025-04-07,2025-12-15,0.9583424508832225,739348,0,0
VIN3_NF_SM,101,2024-03-18,2026-02-16,0.9790256401166455,738963,0,0
VIN4_F_SM,22,2025-03-03,2025-07-28,0.9882271163402443,739313,0,1
VIN4_NF_SM,90,2024-03-18,2026-02-09,0.9759979583127186,738963,0,0
VIN5_F_SM,33,2024-04-29,2025-10-27,0.9801750651321297,739005,0,1
VIN5_NF_SM,96,2024-04-01,2026-02-16,0.969805586180428,738977,0,0
VIN6_F_SM,58,2024-09-30,2025-11-03,0.9789365600781786,739159,0,0
VIN6_NF_SM,93,2024-02-26,2026-02-16,0.9685342075883643,738942,0,0
VIN7_F_SM,79,2024-04-29,2025-11-03,0.9728404817302486,739005,0,0
VIN7_NF_SM,104,2024-02-19,2026-02-16,0.9777544506631526,738935,0,0
VIN8_F_SM,82,2024-01-29,2025-10-20,0.0015720517107150004,738914,1,1
VIN8_NF_SM,103,2024-02-26,2026-02-16,0.9709721872272131,738942,0,0
VIN9_F_SM,74,2024-01-29,2025-06-23,0.0015499127813218977,738914,1,1
VIN9_NF_SM,100,2024-02-26,2026-02-09,0.9807676612251806,738942,0,0
