vin_label,failed,sma_dead,n_events_120,n_events_base,fcr_base,fcr_120,fcr_30,retry_base,retry_120,max_daily_failed_120,dip_depth_delta,vsi_drive_std_120,vsi_drive_std_ratio,rest_vsi_slope_120,rest_vsi_delta,density_taper,silent_gap_d,fcr_ratio,retry_ratio,flags,hclust_k3,hclust_k4
VIN10_F_SM,True,False,60,80,0.1,0.4333,0.5641,0.0375,0.2833,8.0,-0.915,0.277,2.557,0.0,-0.649,1.333,0,4.33,7.55,CRANK_BURST+VSI_VOLATILITY,1,1
VIN11_F_SM,True,False,57,135,0.0519,0.0351,0.1111,0.0444,0.0175,2.0,1.653,0.208,1.82,0.0,-0.077,0.926,0,0.68,0.39,VSI_VOLATILITY,2,2
VIN12_F_SM,True,False,89,260,0.0154,0.0225,0.0455,0.0115,0.0112,1.0,0.313,0.3245,2.316,-0.025,0.262,1.155,0,1.46,0.97,VSI_VOLATILITY,2,2
VIN13_F_SM,True,False,48,110,0.0,0.0417,0.1667,0.0091,0.0208,1.0,1.088,1.2045,2.797,0.0154,-0.663,1.089,0,,2.29,BATTERY_DECLINE+VSI_VOLATILITY,2,2
VIN14_F_SM,True,False,158,511,0.2524,0.4494,0.28,0.1703,0.2975,12.0,0.882,1.0526,5.364,0.05,-2.453,0.834,0,1.78,1.75,CRANK_BURST+BATTERY_DECLINE+VSI_VOLATILITY,1,1
VIN1_F_SM,True,False,106,440,0.0795,0.1981,1.0,0.0773,0.1415,9.0,-0.032,0.1181,1.029,-0.075,-0.313,0.005,72,2.49,1.83,CRANK_BURST+SILENT_GAP_72d,3,4
VIN2_F_SM,True,False,93,43,0.2326,0.172,0.3721,0.186,0.0538,8.0,1.659,0.1139,1.193,-0.082,-0.727,1.257,0,0.74,0.29,CRANK_BURST+BATTERY_DECLINE+VSI_VOLATILITY,2,3
VIN3_F_SM,True,False,130,132,0.0,0.0154,0.0,0.0227,0.0,2.0,0.864,0.9311,1.984,-0.0233,-1.002,0.79,0,,0.0,BATTERY_DECLINE+VSI_VOLATILITY,2,2
VIN4_F_SM,True,False,200,44,0.0227,0.03,0.0,0.0,0.02,6.0,-0.291,0.1115,1.167,0.0,0.0,0.914,97,1.32,,VSI_VOLATILITY+SILENT_GAP_97d,2,2
VIN5_F_SM,True,False,0,79,0.2405,,,0.2025,,,,,,,,0.518,32,,,SILENT_GAP_32d,2,2
VIN6_F_SM,True,False,65,126,0.0397,0.0769,0.2,0.0,0.0154,1.0,3.649,1.0907,3.849,-0.0375,-2.116,0.784,0,1.94,,BATTERY_DECLINE+VSI_VOLATILITY,2,3
VIN7_F_SM,True,False,203,569,0.0721,0.0443,0.0,0.0598,0.0542,5.0,0.111,0.2976,2.574,0.0,-0.137,1.341,0,0.61,0.91,VSI_VOLATILITY,2,2
VIN8_F_SM,True,True,427,1502,0.1032,0.0047,0.0087,0.0479,0.0234,1.0,0.748,0.2413,1.33,0.0,-0.273,0.832,37,0.05,0.49,VSI_VOLATILITY+SILENT_GAP_37d,2,2
VIN9_F_SM,True,True,155,529,0.1153,0.0323,0.0303,0.0435,0.0194,2.0,0.078,0.1737,1.02,0.0,0.109,0.915,142,0.28,0.45,SILENT_GAP_142d,2,2
