vin_label,failed,sma_dead,n_events_120,n_events_base,fcr_base,fcr_120,fcr_30,retry_base,retry_120,max_daily_failed_120,dip_depth_delta,vsi_drive_std_120,vsi_drive_std_ratio,rest_vsi_slope_120,rest_vsi_delta,density_taper,silent_gap_d,fcr_ratio,retry_ratio
VIN10_F_SM,True,False,60,80,0.1,0.4333,0.5641,0.0375,0.2833,8.0,-0.915,0.277,2.557,0.0,-0.649,1.333,0,4.33,7.55
VIN10_NF_SM,False,True,64,379,0.2375,0.0156,0.05,0.066,0.0,1.0,1.556,0.1651,0.805,0.0,-0.988,0.812,0,0.07,0.0
VIN11_F_SM,True,False,57,135,0.0519,0.0351,0.1111,0.0444,0.0175,2.0,1.653,0.208,1.82,0.0,-0.077,0.926,0,0.68,0.39
VIN11_NF_SM,False,True,530,3609,0.4264,0.0038,0.0,0.1042,0.0151,1.0,0.166,0.1911,0.832,0.0,-0.164,0.958,0,0.01,0.14
VIN12_F_SM,True,False,89,260,0.0154,0.0225,0.0455,0.0115,0.0112,1.0,0.313,0.3245,2.316,-0.025,0.262,1.155,0,1.46,0.97
VIN12_NF_SM,False,True,82,398,0.0704,0.0,0.0,0.0452,0.0,0.0,1.457,0.1612,0.906,0.0,0.061,0.776,0,0.0,0.0
VIN13_F_SM,True,False,48,110,0.0,0.0417,0.1667,0.0091,0.0208,1.0,1.088,1.2045,2.797,0.0154,-0.663,1.089,0,,2.29
VIN13_NF_SM,False,True,69,360,0.2167,0.0,0.0,0.025,0.0145,0.0,0.0,0.4242,0.81,-0.031,-0.91,0.778,0,0.0,0.58
VIN14_F_SM,True,False,158,511,0.2524,0.4494,0.28,0.1703,0.2975,12.0,0.882,1.0526,5.364,0.05,-2.453,0.834,0,1.78,1.75
VIN14_NF_SM,False,False,38,169,0.0237,0.0789,0.2,0.0296,0.0,2.0,0.813,0.1775,1.046,-0.0274,0.065,0.969,0,3.33,0.0
VIN15_NF_SM,False,False,220,722,0.1177,0.0364,0.0161,0.0748,0.0273,6.0,0.245,0.116,1.043,0.0,0.381,1.03,0,0.31,0.36
VIN16_NF_SM,False,False,22,232,0.0259,0.0,0.0,0.0302,0.0,0.0,0.884,0.1042,0.594,0.0,0.084,0.611,0,0.0,0.0
VIN17_NF_SM,False,False,198,399,0.0075,0.0101,0.0,0.0201,0.0051,2.0,0.283,0.1262,0.64,-0.0271,0.453,0.861,0,1.35,0.25
VIN18_NF_SM,False,False,85,300,0.0367,0.0,0.0,0.0367,0.0,0.0,-0.274,0.1135,1.068,0.0,-0.091,0.917,0,0.0,0.0
VIN19_NF_SM,False,False,43,159,0.0252,0.0465,0.0769,0.0377,0.0,1.0,-0.261,0.1103,1.048,0.0333,0.08,0.774,0,1.85,0.0
VIN1_F_SM,True,False,106,440,0.0795,0.1981,1.0,0.0773,0.1415,9.0,-0.032,0.1181,1.029,-0.075,-0.313,0.005,72,2.49,1.83
VIN1_NF_SM,False,False,58,232,0.0086,0.0,0.0,0.0086,0.0345,0.0,0.056,0.0713,0.733,0.0,0.078,0.842,0,0.0,4.01
VIN20_NF_SM,False,True,40,1482,0.1498,0.125,0.0,0.0796,0.075,4.0,-0.107,0.1926,0.828,0.04,-0.211,0.69,0,0.83,0.94
VIN2_F_SM,True,False,93,43,0.2326,0.172,0.3721,0.186,0.0538,8.0,1.659,0.1139,1.193,-0.082,-0.727,1.257,0,0.74,0.29
VIN2_NF_SM,False,False,69,212,0.0755,0.1304,0.0,0.0425,0.1014,7.0,0.511,0.1646,1.653,0.0,-0.616,0.782,0,1.73,2.39
VIN3_F_SM,True,False,130,132,0.0,0.0154,0.0,0.0227,0.0,2.0,0.864,0.9311,1.984,-0.0233,-1.002,0.79,0,,0.0
VIN3_NF_SM,False,False,49,193,0.0259,0.0204,0.0,0.0052,0.0204,1.0,-0.255,0.1051,0.938,0.0,-0.248,0.927,0,0.79,3.92
VIN4_F_SM,True,False,200,44,0.0227,0.03,0.0,0.0,0.02,6.0,-0.291,0.1115,1.167,0.0,0.0,0.914,97,1.32,
VIN4_NF_SM,False,False,321,704,0.0909,0.0717,0.1017,0.0611,0.0903,7.0,0.699,0.0874,0.795,0.0,-0.134,0.748,0,0.79,1.48
VIN5_F_SM,True,False,0,79,0.2405,,,0.2025,,,,,,,,0.518,32,,
VIN5_NF_SM,False,False,99,662,0.1511,0.0505,0.0,0.077,0.0404,2.0,1.384,0.1282,1.071,-0.04,-0.366,0.748,0,0.33,0.52
VIN6_F_SM,True,False,65,126,0.0397,0.0769,0.2,0.0,0.0154,1.0,3.649,1.0907,3.849,-0.0375,-2.116,0.784,0,1.94,
VIN6_NF_SM,False,False,104,581,0.1618,0.1058,0.0625,0.1084,0.0481,4.0,1.549,0.3324,3.087,0.0148,-0.419,0.967,0,0.65,0.44
VIN7_F_SM,True,False,203,569,0.0721,0.0443,0.0,0.0598,0.0542,5.0,0.111,0.2976,2.574,0.0,-0.137,1.341,0,0.61,0.91
VIN7_NF_SM,False,False,44,540,0.0037,0.0,0.0,0.0204,0.0,0.0,0.359,0.0991,0.787,0.0,0.061,0.686,0,0.0,0.0
VIN8_F_SM,True,True,427,1502,0.1032,0.0047,0.0087,0.0479,0.0234,1.0,0.748,0.2413,1.33,0.0,-0.273,0.832,37,0.05,0.49
VIN8_NF_SM,False,False,122,389,0.0848,0.3115,0.0,0.0231,0.1803,25.0,-0.1,0.1303,1.08,-0.0158,-0.017,0.768,0,3.67,7.81
VIN9_F_SM,True,True,155,529,0.1153,0.0323,0.0303,0.0435,0.0194,2.0,0.078,0.1737,1.02,0.0,0.109,0.915,142,0.28,0.45
VIN9_NF_SM,False,False,19,109,0.0459,0.0,0.0,0.0367,0.0526,0.0,-1.29,0.1083,0.985,0.0183,-0.129,0.545,0,0.0,1.43
