pos,ratio_med,ratio_p90,fcr_p90
-40,1.0084,1.1207,0.0045
-39,1.0195,1.2851,0.0634
-38,1.0192,1.4195,0.0531
-37,1.0223,1.6825,0.0892
-36,1.0332,1.5505,0.1072
-35,1.0334,1.4396,0.0995
-34,0.981,1.3231,0.1361
-33,0.9952,1.3455,0.1673
-32,0.999,1.6412,0.2161
-31,0.9769,1.2583,0.2536
-30,1.0011,1.1494,0.2521
-29,1.007,1.1527,0.3045
-28,0.9521,1.1647,0.2583
-27,0.9251,1.1489,0.3088
-26,0.9089,1.1155,0.1794
-25,0.9708,1.5496,0.205
-24,0.9822,1.515,0.2308
-23,1.0011,1.4461,0.2691
-22,1.028,1.465,0.2595
-21,0.9728,1.2207,0.0929
-20,0.9192,1.1623,0.1238
-19,0.9337,1.1111,0.1556
-18,0.9252,1.2275,0.1504
-17,0.9725,2.1277,0.1258
-16,0.9667,2.0634,0.2684
-15,0.9692,2.1279,0.2823
-14,0.9781,1.2406,0.235
-13,0.8627,1.1162,0.2286
-12,0.8102,1.0478,0.0974
-11,0.838,1.083,0.0902
-10,0.8547,1.066,0.0854
-9,0.8575,1.0239,0.0949
-8,0.8629,1.0583,0.0522
-7,0.8789,1.0511,0.1888
-6,0.8836,1.0548,0.225
-5,0.9288,1.1211,0.1654
-4,0.9122,1.1168,0.14
-3,0.9042,1.15,0.0753
-2,0.8804,1.1427,0.0897
-1,0.8972,1.0808,0.0649
