vin_label,failed,ratio_shape,ratio_rho,ratio_late_delta,ratio_wks_gt_nfp90_last12,fcr_shape,fcr_rho,fcr_late_delta,fcr_wks_gt_nfp90_last12
VIN10_F_SM,True,MONOTONE_DRIFT,0.883,1.6138,12,LATE_SPIKE,0.148,0.2,5
VIN11_F_SM,True,MONOTONE_DRIFT,0.603,0.6197,12,FLAT,-0.281,-0.0539,1
VIN12_F_SM,True,MONOTONE_DRIFT,0.864,0.5255,12,FLAT,0.257,0.0111,1
VIN13_F_SM,True,LATE_SPIKE,0.306,0.4091,12,MONOTONE_DRIFT,0.634,0.0728,3
VIN14_F_SM,True,MONOTONE_DRIFT,0.86,0.8226,12,FLAT,0.317,-0.1136,11
VIN1_F_SM,True,FLAT,-0.543,-0.0805,4,MONOTONE_DRIFT,0.554,0.3258,10
VIN2_F_SM,True,FLAT,-0.222,-0.0088,5,FLAT,-0.393,-0.0681,1
VIN3_F_SM,True,FLAT,-0.158,-0.0723,12,FLAT,0.243,-0.0128,0
VIN4_F_SM,True,MONOTONE_DRIFT,0.664,0.0418,6,FLAT,-0.227,-0.0506,4
VIN5_F_SM,True,MONOTONE_DRIFT,0.902,1.3401,12,FLAT,-0.635,-0.2333,2
VIN6_F_SM,True,MONOTONE_DRIFT,0.658,0.4485,12,LATE_SPIKE,0.255,0.0204,6
VIN7_F_SM,True,MONOTONE_DRIFT,0.915,0.7668,12,FLAT,0.101,0.0086,0
VIN8_F_SM,True,MONOTONE_DRIFT,0.565,0.1704,12,FLAT,-0.01,-0.0111,0
VIN9_F_SM,True,MONOTONE_DRIFT,0.602,0.109,3,FLAT,0.08,0.0286,2
VIN10_NF_SM,False,FLAT,-0.293,0.111,0,FLAT,-0.252,0.0105,0
VIN11_NF_SM,False,FLAT,-0.131,-0.1906,0,FLAT,-0.234,-0.0113,0
VIN12_NF_SM,False,FLAT,-0.366,-0.0012,0,FLAT,-0.424,-0.1475,0
VIN13_NF_SM,False,FLAT,0.12,0.0685,0,FLAT,,0.0,0
VIN14_NF_SM,False,FLAT,-0.564,-1.1705,0,FLAT,0.15,0.0622,3
VIN15_NF_SM,False,FLAT,-0.531,-0.0218,3,FLAT,-0.028,-0.1527,0
VIN16_NF_SM,False,FLAT,-0.58,-0.9174,0,FLAT,-0.086,-0.049,0
VIN17_NF_SM,False,FLAT,0.093,0.0428,0,FLAT,-0.159,-0.0011,0
VIN18_NF_SM,False,FLAT,-0.241,-0.3151,0,FLAT,,0.0,0
VIN19_NF_SM,False,FLAT,-0.511,-0.0002,1,MONOTONE_DRIFT,0.59,0.0329,2
VIN1_NF_SM,False,FLAT,-0.797,-0.2304,0,FLAT,-0.542,0.0,0
VIN20_NF_SM,False,MONOTONE_DRIFT,0.687,0.1153,0,FLAT,0.4,-0.0303,1
VIN2_NF_SM,False,MONOTONE_DRIFT,0.605,0.4578,12,LATE_SPIKE,-0.146,0.2215,4
VIN3_NF_SM,False,FLAT,-0.592,-0.1029,0,FLAT,-0.147,-0.0737,0
VIN4_NF_SM,False,FLAT,-0.426,0.0792,0,FLAT,-0.215,0.0236,1
VIN5_NF_SM,False,MONOTONE_DRIFT,0.515,0.1815,5,FLAT,-0.296,0.0044,3
VIN6_NF_SM,False,FLAT,-0.288,-1.6943,3,FLAT,-0.107,-0.1919,2
VIN7_NF_SM,False,MONOTONE_DRIFT,0.781,0.0472,0,FLAT,,0.0,0
VIN8_NF_SM,False,FLAT,-0.009,0.0078,0,LATE_SPIKE,0.351,0.1099,8
VIN9_NF_SM,False,FLAT,-0.648,-0.0363,0,FLAT,-0.276,-0.0797,0
