vin_label,failed,signal,step_V,snr,step_week
VIN10_F_SM,True,vsi_rest_median,-0.79,1.22,2025-07-14
VIN10_F_SM,True,vsi_drive_mean,-0.316,2.17,2025-10-27
VIN10_NF_SM,False,vsi_rest_median,-3.0,10.0,2024-02-26
VIN10_NF_SM,False,vsi_drive_mean,-0.151,5.4,2024-09-09
VIN11_F_SM,True,vsi_rest_median,0.0,0.0,2024-05-20
VIN11_F_SM,True,vsi_drive_mean,-0.106,2.21,2025-09-22
VIN11_NF_SM,False,vsi_rest_median,-0.4,4.0,2024-02-26
VIN11_NF_SM,False,vsi_drive_mean,0.061,2.73,2025-02-24
VIN12_F_SM,True,vsi_rest_median,0.41,2.1,2025-02-17
VIN12_F_SM,True,vsi_drive_mean,0.111,2.4,2025-10-06
VIN12_NF_SM,False,vsi_rest_median,0.7,2.33,2024-04-29
VIN12_NF_SM,False,vsi_drive_mean,0.054,2.94,2025-11-24
VIN13_F_SM,True,vsi_rest_median,-1.21,1.34,2025-08-25
VIN13_F_SM,True,vsi_drive_mean,0.748,3.84,2025-09-01
VIN13_NF_SM,False,vsi_rest_median,-4.2,16.8,2024-02-26
VIN13_NF_SM,False,vsi_drive_mean,-0.228,4.52,2024-04-01
VIN14_F_SM,True,vsi_rest_median,-2.305,5.76,2025-09-01
VIN14_F_SM,True,vsi_drive_mean,0.652,4.53,2025-09-22
VIN14_NF_SM,False,vsi_rest_median,0.2,1.0,2024-04-08
VIN14_NF_SM,False,vsi_drive_mean,-0.106,1.48,2024-03-25
VIN15_NF_SM,False,vsi_rest_median,0.41,2.0,2024-11-18
VIN15_NF_SM,False,vsi_drive_mean,-0.054,2.61,2024-04-08
VIN16_NF_SM,False,vsi_rest_median,0.705,1.29,2024-08-26
VIN16_NF_SM,False,vsi_drive_mean,0.147,5.18,2025-12-08
VIN17_NF_SM,False,vsi_rest_median,0.59,3.03,2025-09-29
VIN17_NF_SM,False,vsi_drive_mean,0.127,1.34,2025-06-09
VIN18_NF_SM,False,vsi_rest_median,1.4,2.33,2024-05-27
VIN18_NF_SM,False,vsi_drive_mean,0.017,2.15,2025-05-05
VIN19_NF_SM,False,vsi_rest_median,0.4,2.0,2025-05-19
VIN19_NF_SM,False,vsi_drive_mean,-0.062,3.24,2025-03-31
VIN1_F_SM,True,vsi_rest_median,0.3,2.0,2025-05-05
VIN1_F_SM,True,vsi_drive_mean,-0.012,1.28,2024-12-02
VIN1_NF_SM,False,vsi_rest_median,0.4,4.0,2024-08-26
VIN1_NF_SM,False,vsi_drive_mean,0.175,9.39,2025-09-01
VIN20_NF_SM,False,vsi_rest_median,-0.8,2.46,2024-02-26
VIN20_NF_SM,False,vsi_drive_mean,-0.175,3.47,2025-03-24
VIN2_F_SM,True,vsi_rest_median,-1.59,5.3,2025-09-22
VIN2_F_SM,True,vsi_drive_mean,0.035,1.42,2025-09-01
VIN2_NF_SM,False,vsi_rest_median,-0.61,2.03,2025-10-13
VIN2_NF_SM,False,vsi_drive_mean,-0.11,3.84,2024-04-15
VIN3_F_SM,True,vsi_rest_median,-1.695,3.77,2025-06-16
VIN3_F_SM,True,vsi_drive_mean,0.474,7.47,2025-06-16
VIN3_NF_SM,False,vsi_rest_median,0.61,3.05,2024-06-17
VIN3_NF_SM,False,vsi_drive_mean,0.057,3.2,2025-12-01
VIN4_F_SM,True,vsi_rest_median,0.0,0.0,2025-04-28
VIN4_F_SM,True,vsi_drive_mean,-0.061,3.99,2025-04-28
VIN4_NF_SM,False,vsi_rest_median,-0.305,2.0,2025-06-23
VIN4_NF_SM,False,vsi_drive_mean,0.048,3.53,2024-10-07
VIN5_F_SM,True,vsi_rest_median,0.41,2.1,2024-07-01
VIN5_F_SM,True,vsi_drive_mean,0.147,2.73,2024-10-14
VIN5_NF_SM,False,vsi_rest_median,0.61,2.46,2024-06-10
VIN5_NF_SM,False,vsi_drive_mean,0.064,2.5,2024-09-09
VIN6_F_SM,True,vsi_rest_median,-2.705,4.15,2025-08-04
VIN6_F_SM,True,vsi_drive_mean,0.674,3.55,2025-09-08
VIN6_NF_SM,False,vsi_rest_median,-0.61,2.98,2025-01-13
VIN6_NF_SM,False,vsi_drive_mean,0.176,4.77,2025-06-23
VIN7_F_SM,True,vsi_rest_median,-0.4,2.0,2024-12-30
VIN7_F_SM,True,vsi_drive_mean,0.146,14.07,2025-09-08
VIN7_NF_SM,False,vsi_rest_median,0.41,2.1,2024-04-29
VIN7_NF_SM,False,vsi_drive_mean,-0.067,1.79,2024-06-03
VIN8_F_SM,True,vsi_rest_median,0.6,3.0,2024-06-24
VIN8_F_SM,True,vsi_drive_mean,-0.053,1.64,2024-06-10
VIN8_NF_SM,False,vsi_rest_median,-0.705,4.78,2024-08-12
VIN8_NF_SM,False,vsi_drive_mean,0.11,7.0,2025-11-24
VIN9_F_SM,True,vsi_rest_median,0.4,1.6,2024-03-25
VIN9_F_SM,True,vsi_drive_mean,-0.104,3.49,2024-03-25
VIN9_NF_SM,False,vsi_rest_median,0.21,1.0,2024-05-06
VIN9_NF_SM,False,vsi_drive_mean,-0.053,2.35,2024-04-29
