vin_label,age_week,weeks_to_fail,med_rul_wk
VIN10_F_SM,52,26.0,92.0
VIN10_F_SM,53,25.0,123.0
VIN10_F_SM,54,24.0,86.0
VIN10_F_SM,55,23.0,81.0
VIN10_F_SM,56,22.0,90.0
VIN10_F_SM,57,21.0,76.0
VIN10_F_SM,58,20.0,119.0
VIN10_F_SM,59,19.0,126.0
VIN10_F_SM,60,18.0,111.0
VIN10_F_SM,61,17.0,110.0
VIN10_F_SM,62,16.0,120.0
VIN10_F_SM,63,15.0,112.0
VIN10_F_SM,64,14.0,103.0
VIN10_F_SM,65,13.0,95.0
VIN10_F_SM,66,12.0,88.0
VIN10_F_SM,67,11.0,88.0
VIN10_F_SM,68,10.0,91.0
VIN10_F_SM,69,9.0,93.0
VIN10_F_SM,70,8.0,84.0
VIN10_F_SM,71,7.0,96.0
VIN10_F_SM,72,6.0,89.0
VIN10_F_SM,73,5.0,86.0
VIN10_F_SM,74,4.0,31.0
VIN10_F_SM,75,3.0,20.0
VIN10_F_SM,76,2.0,17.0
VIN10_F_SM,77,1.0,19.0
VIN11_F_SM,60,26.0,116.0
VIN11_F_SM,61,25.0,104.0
VIN11_F_SM,62,24.0,106.0
VIN11_F_SM,63,23.0,94.0
VIN11_F_SM,64,22.0,90.0
VIN11_F_SM,65,21.0,101.0
VIN11_F_SM,66,20.0,100.0
VIN11_F_SM,67,19.0,104.0
VIN11_F_SM,68,18.0,110.0
VIN11_F_SM,69,17.0,116.0
VIN11_F_SM,70,16.0,116.0
VIN11_F_SM,71,15.0,124.0
VIN11_F_SM,72,14.0,116.0
VIN11_F_SM,73,13.0,101.0
VIN11_F_SM,74,12.0,98.0
VIN11_F_SM,75,11.0,91.0
VIN11_F_SM,76,10.0,91.0
VIN11_F_SM,77,9.0,94.0
VIN11_F_SM,78,8.0,96.0
VIN11_F_SM,79,7.0,87.0
VIN11_F_SM,80,6.0,75.0
VIN11_F_SM,81,5.0,65.0
VIN11_F_SM,82,4.0,59.0
VIN11_F_SM,83,3.0,72.0
VIN11_F_SM,84,2.0,88.0
VIN11_F_SM,85,1.0,79.0
VIN12_F_SM,23,26.0,147.0
VIN12_F_SM,24,25.0,148.0
VIN12_F_SM,25,24.0,149.0
VIN12_F_SM,26,23.0,149.0
VIN12_F_SM,27,22.0,142.0
VIN12_F_SM,28,21.0,139.0
VIN12_F_SM,29,20.0,135.0
VIN12_F_SM,30,19.0,128.0
VIN12_F_SM,31,18.0,127.0
VIN12_F_SM,32,17.0,125.0
VIN12_F_SM,33,16.0,116.0
VIN12_F_SM,34,15.0,106.0
VIN12_F_SM,35,14.0,82.0
VIN12_F_SM,36,13.0,72.0
VIN12_F_SM,37,12.0,80.0
VIN12_F_SM,38,11.0,94.0
VIN12_F_SM,39,10.0,122.0
VIN12_F_SM,40,9.0,125.0
VIN12_F_SM,41,8.0,116.0
VIN12_F_SM,42,7.0,108.0
VIN12_F_SM,43,6.0,113.0
VIN12_F_SM,44,5.0,117.0
VIN12_F_SM,45,4.0,108.0
VIN12_F_SM,46,3.0,93.0
VIN12_F_SM,47,2.0,69.0
VIN12_F_SM,48,1.0,57.0
VIN13_F_SM,40,26.0,140.0
VIN13_F_SM,41,25.0,135.0
VIN13_F_SM,42,24.0,125.0
VIN13_F_SM,43,23.0,117.0
VIN13_F_SM,44,22.0,93.0
VIN13_F_SM,45,21.0,93.0
VIN13_F_SM,46,20.0,76.0
VIN13_F_SM,47,19.0,74.0
VIN13_F_SM,48,18.0,65.0
VIN13_F_SM,49,17.0,45.0
VIN13_F_SM,50,16.0,52.0
VIN13_F_SM,51,15.0,49.0
VIN13_F_SM,52,14.0,48.0
VIN13_F_SM,53,13.0,49.0
VIN13_F_SM,54,12.0,37.0
VIN13_F_SM,55,11.0,29.0
VIN13_F_SM,56,10.0,33.0
VIN13_F_SM,57,9.0,37.0
VIN13_F_SM,58,8.0,35.0
VIN13_F_SM,59,7.0,35.0
VIN13_F_SM,60,6.0,29.0
VIN13_F_SM,61,5.0,26.0
VIN13_F_SM,62,4.0,30.0
VIN13_F_SM,63,3.0,28.0
VIN13_F_SM,64,2.0,28.0
VIN13_F_SM,65,1.0,47.0
VIN14_F_SM,46,26.0,53.0
VIN14_F_SM,47,25.0,52.0
VIN14_F_SM,48,24.0,53.0
VIN14_F_SM,53,19.0,58.0
VIN14_F_SM,54,18.0,34.0
VIN14_F_SM,55,17.0,32.0
VIN14_F_SM,56,16.0,22.0
VIN14_F_SM,57,15.0,15.0
VIN14_F_SM,58,14.0,13.0
VIN14_F_SM,59,13.0,9.0
VIN14_F_SM,60,12.0,9.0
VIN14_F_SM,61,11.0,7.0
VIN14_F_SM,62,10.0,6.0
VIN14_F_SM,63,9.0,7.0
VIN14_F_SM,64,8.0,7.0
VIN14_F_SM,65,7.0,9.0
VIN14_F_SM,66,6.0,13.0
VIN14_F_SM,67,5.0,11.0
VIN14_F_SM,68,4.0,17.0
VIN14_F_SM,69,3.0,14.0
VIN14_F_SM,70,2.0,13.0
VIN14_F_SM,71,1.0,13.0
VIN1_F_SM,24,26.0,137.0
VIN1_F_SM,25,25.0,141.0
VIN1_F_SM,26,24.0,139.0
VIN1_F_SM,27,23.0,139.0
VIN1_F_SM,28,22.0,156.0
VIN1_F_SM,29,21.0,161.0
VIN1_F_SM,30,20.0,162.0
VIN1_F_SM,31,19.0,155.0
VIN1_F_SM,32,18.0,132.0
VIN1_F_SM,33,17.0,126.0
VIN1_F_SM,34,16.0,125.0
VIN1_F_SM,35,15.0,120.0
VIN1_F_SM,36,14.0,128.0
VIN1_F_SM,37,13.0,129.0
VIN1_F_SM,38,12.0,133.0
VIN1_F_SM,39,11.0,146.0
VIN1_F_SM,40,10.0,159.0
VIN1_F_SM,41,9.0,141.0
VIN1_F_SM,42,8.0,133.0
VIN1_F_SM,43,7.0,125.0
VIN1_F_SM,48,2.0,112.0
VIN1_F_SM,49,1.0,128.0
VIN2_F_SM,0,24.0,142.0
VIN2_F_SM,1,23.0,141.0
VIN2_F_SM,2,22.0,140.0
VIN2_F_SM,3,21.0,112.0
VIN2_F_SM,4,20.0,117.0
VIN2_F_SM,5,19.0,119.0
VIN2_F_SM,6,18.0,122.0
VIN2_F_SM,7,17.0,139.0
VIN2_F_SM,8,16.0,131.0
VIN2_F_SM,9,15.0,131.0
VIN2_F_SM,10,14.0,132.0
VIN2_F_SM,11,13.0,134.0
VIN2_F_SM,12,12.0,139.0
VIN2_F_SM,13,11.0,145.0
VIN2_F_SM,14,10.0,144.0
VIN2_F_SM,15,9.0,137.0
VIN2_F_SM,16,8.0,121.0
VIN2_F_SM,17,7.0,118.0
VIN2_F_SM,18,6.0,118.0
VIN2_F_SM,19,5.0,120.0
VIN2_F_SM,20,4.0,129.0
VIN2_F_SM,21,3.0,123.0
VIN2_F_SM,22,2.0,120.0
VIN2_F_SM,23,1.0,116.0
VIN3_F_SM,10,26.0,128.0
VIN3_F_SM,11,25.0,105.0
VIN3_F_SM,12,24.0,49.0
VIN3_F_SM,13,23.0,25.0
VIN3_F_SM,14,22.0,17.0
VIN3_F_SM,15,21.0,17.0
VIN3_F_SM,16,20.0,34.0
VIN3_F_SM,17,19.0,47.0
VIN3_F_SM,18,18.0,54.0
VIN3_F_SM,19,17.0,64.0
VIN3_F_SM,20,16.0,71.0
VIN3_F_SM,21,15.0,78.0
VIN3_F_SM,22,14.0,84.0
VIN3_F_SM,23,13.0,95.0
