held_out,m_of_12,train_recall,train_fp_rate
VIN10_F_SM,3,1.0,0.2
VIN10_F_SM,4,0.9231,0.1
VIN10_F_SM,5,0.8462,0.1
VIN10_NF_SM,3,0.9286,0.2105
VIN10_NF_SM,4,0.8571,0.1053
VIN10_NF_SM,5,0.8571,0.1053
VIN11_F_SM,3,1.0,0.2
VIN11_F_SM,4,0.9231,0.1
VIN11_F_SM,5,0.8462,0.1
VIN11_NF_SM,3,0.9286,0.2105
VIN11_NF_SM,4,0.8571,0.1053
VIN11_NF_SM,5,0.8571,0.1053
VIN12_F_SM,3,1.0,0.2
VIN12_F_SM,4,0.9231,0.1
VIN12_F_SM,5,0.8462,0.1
VIN12_NF_SM,3,0.9286,0.2105
VIN12_NF_SM,4,0.8571,0.1053
VIN12_NF_SM,5,0.8571,0.1053
VIN13_F_SM,3,1.0,0.2
VIN13_F_SM,4,0.9231,0.1
VIN13_F_SM,5,0.8462,0.1
VIN13_NF_SM,3,0.9286,0.2105
VIN13_NF_SM,4,0.8571,0.1053
VIN13_NF_SM,5,0.8571,0.1053
VIN14_F_SM,3,1.0,0.2
VIN14_F_SM,4,0.9231,0.1
VIN14_F_SM,5,0.8462,0.1
VIN14_NF_SM,3,0.9286,0.2105
VIN14_NF_SM,4,0.8571,0.1053
VIN14_NF_SM,5,0.8571,0.1053
VIN15_NF_SM,3,1.0,0.2105
VIN15_NF_SM,4,0.9286,0.1053
VIN15_NF_SM,5,0.8571,0.1053
VIN16_NF_SM,3,0.9286,0.2105
VIN16_NF_SM,4,0.8571,0.1053
VIN16_NF_SM,5,0.8571,0.1053
VIN17_NF_SM,3,0.9286,0.2105
VIN17_NF_SM,4,0.8571,0.1053
VIN17_NF_SM,5,0.8571,0.1053
VIN18_NF_SM,3,0.9286,0.2105
VIN18_NF_SM,4,0.8571,0.1053
VIN18_NF_SM,5,0.8571,0.1053
VIN19_NF_SM,3,0.9286,0.2105
VIN19_NF_SM,4,0.8571,0.1579
VIN19_NF_SM,5,0.8571,0.1053
VIN1_F_SM,3,1.0,0.2
VIN1_F_SM,4,0.9231,0.1
VIN1_F_SM,5,0.9231,0.1
VIN1_NF_SM,3,0.9286,0.2105
VIN1_NF_SM,4,0.8571,0.1053
VIN1_NF_SM,5,0.8571,0.1053
VIN20_NF_SM,3,0.9286,0.2105
VIN20_NF_SM,4,0.9286,0.1053
VIN20_NF_SM,5,0.8571,0.1053
VIN2_F_SM,3,1.0,0.2
VIN2_F_SM,4,0.9231,0.1
VIN2_F_SM,5,0.8462,0.1
VIN2_NF_SM,3,1.0,0.2632
VIN2_NF_SM,4,1.0,0.1579
VIN2_NF_SM,5,0.9286,0.1579
VIN3_F_SM,3,1.0,0.2
VIN3_F_SM,4,0.9231,0.1
VIN3_F_SM,5,0.8462,0.1
VIN3_NF_SM,3,0.9286,0.2105
VIN3_NF_SM,4,0.8571,0.1053
VIN3_NF_SM,5,0.8571,0.1053
VIN4_F_SM,3,1.0,0.2
VIN4_F_SM,4,0.9231,0.1
VIN4_F_SM,5,0.8462,0.1
VIN4_NF_SM,3,0.9286,0.2105
VIN4_NF_SM,4,0.8571,0.1053
VIN4_NF_SM,5,0.8571,0.1053
VIN5_F_SM,3,1.0,0.2
VIN5_F_SM,4,0.9231,0.1
VIN5_F_SM,5,0.8462,0.1
VIN5_NF_SM,3,1.0,0.2105
VIN5_NF_SM,4,0.9286,0.1579
VIN5_NF_SM,5,0.9286,0.0526
VIN6_F_SM,3,1.0,0.2
VIN6_F_SM,4,0.9231,0.1
VIN6_F_SM,5,0.8462,0.1
VIN6_NF_SM,3,0.9286,0.1579
VIN6_NF_SM,4,0.9286,0.1579
VIN6_NF_SM,5,0.8571,0.1579
VIN7_F_SM,3,1.0,0.2
VIN7_F_SM,4,0.9231,0.1
VIN7_F_SM,5,0.8462,0.1
VIN7_NF_SM,3,0.9286,0.2105
VIN7_NF_SM,4,0.8571,0.1053
VIN7_NF_SM,5,0.8571,0.1053
VIN8_F_SM,3,1.0,0.2
VIN8_F_SM,4,0.9231,0.1
VIN8_F_SM,5,0.8462,0.1
VIN8_NF_SM,3,1.0,0.2105
VIN8_NF_SM,4,0.9286,0.1053
VIN8_NF_SM,5,0.8571,0.1053
VIN9_F_SM,3,1.0,0.2
VIN9_F_SM,4,1.0,0.1
VIN9_F_SM,5,0.9231,0.1
VIN9_NF_SM,3,0.9286,0.2105
VIN9_NF_SM,4,0.8571,0.1053
VIN9_NF_SM,5,0.8571,0.1053
