vin,gap_start,gap_end,days,type
VIN10_F_SM,2024-09-21,2025-01-22,124,mid_history
VIN11_F_SM,2024-09-21,2025-02-28,161,mid_history
VIN11_NF_SM,2024-10-07,2024-10-18,12,mid_history
VIN12_NF_SM,2024-01-04,2024-01-30,27,mid_history
VIN12_NF_SM,2024-02-09,2024-03-03,24,mid_history
VIN13_NF_SM,2024-02-17,2024-02-23,7,mid_history
VIN13_NF_SM,2024-11-20,2024-11-30,11,mid_history
VIN13_NF_SM,2024-12-18,2024-12-24,7,mid_history
VIN14_F_SM,2025-06-06,2025-07-10,35,mid_history
VIN14_NF_SM,2024-01-24,2024-02-14,22,mid_history
VIN14_NF_SM,2024-03-20,2024-03-27,8,mid_history
VIN15_NF_SM,2024-02-02,2024-02-15,14,mid_history
VIN16_NF_SM,2024-02-16,2024-02-27,12,mid_history
VIN16_NF_SM,2024-03-02,2024-04-09,39,mid_history
VIN16_NF_SM,2024-04-11,2024-05-29,49,mid_history
VIN16_NF_SM,2024-06-01,2024-06-30,30,mid_history
VIN16_NF_SM,2024-07-03,2024-07-12,10,mid_history
VIN16_NF_SM,2024-07-19,2024-07-29,11,mid_history
VIN16_NF_SM,2024-08-01,2024-08-14,14,mid_history
VIN17_NF_SM,2024-07-25,2024-09-29,67,mid_history
VIN17_NF_SM,2024-10-12,2024-12-02,52,mid_history
VIN18_NF_SM,2025-08-18,2025-08-30,13,mid_history
VIN18_NF_SM,2025-09-15,2025-10-13,29,mid_history
VIN18_NF_SM,2026-01-21,2026-02-02,13,mid_history
VIN19_NF_SM,2024-05-08,2024-05-26,19,mid_history
VIN19_NF_SM,2024-06-08,2024-06-19,12,mid_history
VIN19_NF_SM,2024-06-27,2024-07-05,9,mid_history
VIN19_NF_SM,2024-08-23,2024-08-31,9,mid_history
VIN1_F_SM,2025-07-31,2025-09-02,34,mid_history
VIN1_F_SM,2025-09-16,2025-11-26,72,terminal_silent
VIN1_NF_SM,2024-02-07,2024-02-26,20,mid_history
VIN1_NF_SM,2024-03-04,2024-03-29,26,mid_history
VIN1_NF_SM,2024-05-11,2024-05-22,12,mid_history
VIN1_NF_SM,2024-06-25,2024-07-25,31,mid_history
VIN2_NF_SM,2024-01-25,2024-02-15,22,mid_history
VIN2_NF_SM,2024-03-01,2024-03-18,18,mid_history
VIN2_NF_SM,2024-04-05,2024-04-13,9,mid_history
VIN2_NF_SM,2025-01-20,2025-02-05,17,mid_history
VIN4_F_SM,2025-08-03,2025-11-07,97,terminal_silent
VIN4_NF_SM,2024-04-01,2024-04-24,24,mid_history
VIN4_NF_SM,2024-04-27,2024-05-29,33,mid_history
VIN4_NF_SM,2024-07-27,2024-08-19,24,mid_history
VIN4_NF_SM,2025-06-19,2025-06-28,10,mid_history
VIN5_F_SM,2024-12-04,2025-10-26,327,mid_history
VIN5_F_SM,2025-10-28,2025-11-28,32,terminal_silent
VIN5_NF_SM,2024-04-10,2024-04-27,18,mid_history
VIN5_NF_SM,2024-11-20,2024-11-28,9,mid_history
VIN5_NF_SM,2024-12-24,2025-01-13,21,mid_history
VIN6_NF_SM,2024-03-02,2024-03-12,11,mid_history
VIN6_NF_SM,2024-03-24,2024-04-10,18,mid_history
VIN6_NF_SM,2024-11-29,2024-12-05,7,mid_history
VIN6_NF_SM,2025-08-23,2025-10-25,64,mid_history
VIN6_NF_SM,2025-11-20,2025-11-26,7,mid_history
VIN7_F_SM,2024-05-10,2024-05-19,10,mid_history
VIN7_NF_SM,2024-03-17,2024-03-29,13,mid_history
VIN8_F_SM,2024-02-25,2024-04-03,39,mid_history
VIN8_F_SM,2024-05-04,2024-06-06,34,mid_history
VIN8_F_SM,2025-10-27,2025-12-02,37,terminal_silent
VIN8_NF_SM,2024-03-06,2024-03-18,13,mid_history
VIN9_F_SM,2025-06-30,2025-11-18,142,terminal_silent
VIN9_NF_SM,2024-03-08,2024-03-21,14,mid_history
VIN9_NF_SM,2025-01-08,2025-01-15,8,mid_history
VIN9_NF_SM,2025-02-08,2025-02-28,21,mid_history
