k_weeks,auroc,ci95_lo,ci95_hi,recall_at_spec1820,specificity_actual,n_usable,n_failed_usable,median_score_failed,median_score_nf,median_separation,cov_f1_withinwk,cov_f2_restp05,cov_f3_rangetrend,cov_f4_dipdepth,in_spec_range,k_star_sustained,decay_head_mean,decay_tail_mean,decay_confirmed
0,0.9357,0.8395,0.9895,0.7143,0.9,34,14,0.4591,-0.6248,1.0839,1.0,1.0,1.0,0.76,True,10,0.9286,0.5917,True
1,0.9286,0.8231,0.9912,0.7143,0.9,34,14,0.0323,-0.5865,0.6189,1.0,1.0,1.0,0.76,True,10,0.9286,0.5917,True
2,0.9214,0.8225,0.9919,0.7143,0.9,34,14,0.1498,-0.5541,0.704,1.0,1.0,1.0,0.76,True,10,0.9286,0.5917,True
3,0.9214,0.8,0.9964,0.7857,0.9,34,14,0.2097,-0.5921,0.8018,1.0,1.0,1.0,0.76,True,10,0.9286,0.5917,True
4,0.8929,0.7788,0.9788,0.6429,0.9,34,14,0.1756,-0.5984,0.7741,1.0,1.0,1.0,0.74,True,10,0.9286,0.5917,True
5,0.9036,0.7867,0.9857,0.6429,0.9,34,14,0.1231,-0.5419,0.665,1.0,1.0,1.0,0.74,True,10,0.9286,0.5917,True
6,0.8429,0.7016,0.9704,0.6429,0.9,34,14,-0.0358,-0.4441,0.4083,1.0,0.97,1.0,0.74,True,10,0.9286,0.5917,True
7,0.85,0.6955,0.973,0.7143,0.9,34,14,-0.0839,-0.4418,0.3579,1.0,0.97,1.0,0.71,True,10,0.9286,0.5917,True
8,0.8571,0.6948,0.9657,0.7143,0.9,34,14,-0.062,-0.435,0.373,1.0,0.97,1.0,0.71,True,10,0.9286,0.5917,True
9,0.8179,0.6159,0.9576,0.5714,0.9,34,14,-0.0641,-0.4831,0.4191,0.97,0.94,1.0,0.68,True,10,0.9286,0.5917,True
10,0.7679,0.5864,0.9211,0.3571,0.9,34,14,-0.1641,-0.3948,0.2308,1.0,0.94,1.0,0.65,True,10,0.9286,0.5917,True
11,0.7036,0.5172,0.8681,0.2857,0.9,34,14,-0.1884,-0.3472,0.1589,1.0,0.94,1.0,0.65,True,10,0.9286,0.5917,True
12,0.7321,0.5561,0.8874,0.2857,0.9,34,14,-0.2122,-0.3991,0.187,1.0,0.94,1.0,0.65,True,10,0.9286,0.5917,True
13,0.6571,0.4531,0.8328,0.4286,0.9,34,14,-0.3265,-0.4031,0.0767,1.0,0.94,1.0,0.68,True,10,0.9286,0.5917,True
14,0.625,0.4284,0.8272,0.4286,0.9,34,14,-0.3776,-0.422,0.0444,1.0,0.94,1.0,0.68,True,10,0.9286,0.5917,True
15,0.7731,0.5796,0.9131,0.5385,0.9,33,13,0.0312,-0.529,0.5602,1.0,0.97,1.0,0.7,True,10,0.9286,0.5917,True
16,0.7346,0.5331,0.9047,0.5385,0.9,33,13,-0.2103,-0.4435,0.2332,1.0,0.97,1.0,0.73,True,10,0.9286,0.5917,True
17,0.5923,0.3726,0.8291,0.4615,0.9,33,13,-0.3331,-0.4023,0.0693,1.0,0.97,1.0,0.7,False,10,0.9286,0.5917,True
18,0.7125,0.4767,0.902,0.5,0.9,32,12,-0.2344,-0.3968,0.1624,1.0,1.0,1.0,0.72,False,10,0.9286,0.5917,True
19,0.6625,0.4368,0.8762,0.5,0.9,32,12,-0.183,-0.3527,0.1698,1.0,1.0,1.0,0.72,False,10,0.9286,0.5917,True
20,0.6542,0.4471,0.8506,0.3333,0.9,32,12,-0.2924,-0.3985,0.1061,1.0,1.0,1.0,0.72,False,10,0.9286,0.5917,True
21,0.625,0.423,0.8303,0.4167,0.9,32,12,-0.3392,-0.3408,0.0016,1.0,0.97,1.0,0.72,False,10,0.9286,0.5917,True
22,0.5167,0.2994,0.7354,0.1667,0.9,32,12,-0.3813,-0.3361,-0.0452,1.0,0.97,1.0,0.72,False,10,0.9286,0.5917,True
23,0.55,0.3049,0.7474,0.25,0.9,32,12,-0.3588,-0.383,0.0242,1.0,0.97,1.0,0.72,False,10,0.9286,0.5917,True
24,0.5417,0.3468,0.7807,0.1667,0.9,32,12,-0.3112,-0.3588,0.0475,1.0,0.97,1.0,0.72,False,10,0.9286,0.5917,True
25,0.7,0.4909,0.881,0.5,0.9,32,12,-0.0671,-0.3981,0.331,1.0,0.97,1.0,0.72,False,10,0.9286,0.5917,True
26,0.575,0.3465,0.7922,0.3333,0.9,32,12,-0.2357,-0.2979,0.0622,1.0,0.97,1.0,0.72,False,10,0.9286,0.5917,True
