vin,failed,pool_size,pool,winner,k,inner_auroc,inner_youden,prob,prob_recal,pred_foldthr,tier
VIN10_F_SM,1,6,vsi_withinwk_std_ratio_30d_w|dip_depth_last90_delta|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|vsi_trend_persistence|vsi_range_trend,vsi_withinwk_std_ratio_30d_w|dip_depth_last90_delta|rest_vsi_p05_delta90|vsi_range_trend,4,0.9346,0.4062,0.7818,0.9953,1,RED
VIN10_NF_SM,0,7,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|dip_depth_last90_delta|vsi_range_trend|vsi_trend_persistence|failed_crank_rate_last90,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0.9474,0.4054,0.4541,0.4349,1,AMBER
VIN11_F_SM,1,7,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|failed_crank_rate_last90|first_crank_fail_rate_last90|vsi_trend_persistence|vsi_range_trend,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0.9269,0.398,0.6507,0.9578,1,RED
VIN11_NF_SM,0,7,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|vsi_trend_persistence|dip_depth_last90_delta|vsi_range_trend|failed_crank_rate_last90,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|dip_depth_last90_delta|vsi_range_trend,4,0.9361,0.4078,0.3496,0.1211,0,GREEN
VIN12_F_SM,1,7,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|dip_depth_last90_delta|rest_vsi_p05_delta90|failed_crank_rate_last90|vsi_trend_persistence|vsi_range_trend,vsi_withinwk_std_ratio_30d_w|dip_depth_last90_delta|rest_vsi_p05_delta90|vsi_range_trend,4,0.9308,0.4031,0.658,0.9549,1,RED
VIN12_NF_SM,0,7,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|vsi_trend_persistence|dip_depth_last90_delta|vsi_range_trend|failed_crank_rate_last90,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|dip_depth_last90_delta|vsi_range_trend,4,0.9361,0.4071,0.3314,0.0909,0,GREEN
VIN13_F_SM,1,7,vsi_withinwk_std_ratio_30d_w|vsi_range_trend|vsi_std_ratio_30d_L40|vsi_trend_persistence|rest_vsi_p05_delta90|failed_crank_rate_last90|dip_depth_last90_delta,vsi_withinwk_std_ratio_30d_w|vsi_range_trend|rest_vsi_p05_delta90,3,0.9346,0.3944,0.4964,0.654,1,RED
VIN13_NF_SM,0,7,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|vsi_range_trend|dip_depth_last90_delta|vsi_trend_persistence|failed_crank_rate_last90,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0.9361,0.4041,0.3663,0.146,0,GREEN
VIN14_F_SM,1,5,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|vsi_trend_persistence|vsi_range_trend,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0.9308,0.4016,0.798,0.9977,1,RED
VIN14_NF_SM,0,8,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|dip_depth_last90_delta|failed_crank_rate_last90|rest_vsi_p05_delta90|vsi_trend_persistence|first_crank_fail_rate_last90|vsi_range_trend,vsi_withinwk_std_ratio_30d_w|dip_depth_last90_delta|vsi_range_trend,3,0.9323,0.3847,0.2866,0.0412,0,GREEN
VIN15_NF_SM,0,6,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|dip_depth_last90_delta|rest_vsi_p05_delta90|vsi_trend_persistence|vsi_range_trend,vsi_withinwk_std_ratio_30d_w|dip_depth_last90_delta|vsi_range_trend,3,0.9398,0.3892,0.3989,0.2542,1,GREEN
VIN16_NF_SM,0,6,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|dip_depth_last90_delta|rest_vsi_p05_delta90|vsi_range_trend|vsi_trend_persistence,vsi_withinwk_std_ratio_30d_w|dip_depth_last90_delta|vsi_range_trend,3,0.9323,0.3856,0.2897,0.0433,0,GREEN
VIN17_NF_SM,0,6,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|dip_depth_last90_delta|vsi_range_trend|vsi_trend_persistence,vsi_withinwk_std_ratio_30d_w|dip_depth_last90_delta|vsi_range_trend,3,0.9323,0.3881,0.3342,0.0961,0,GREEN
VIN18_NF_SM,0,5,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|vsi_trend_persistence|vsi_range_trend,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0.9323,0.4047,0.4008,0.2352,0,GREEN
VIN19_NF_SM,0,6,vsi_withinwk_std_ratio_30d_w|vsi_std_ratio_30d_L40|rest_vsi_p05_delta90|failed_crank_rate_last90|vsi_range_trend|vsi_trend_persistence,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0.9286,0.4049,0.3875,0.1968,0,GREEN
