old_label,new_label,cohort,raw_file_vin
VIN1_F_SM,VIN1_F_SM,failed,VIN1
VIN2_F_SM,VIN2_F_SM,failed,VIN2
VIN3_F_SM,VIN3_F_SM,failed,VIN3
VIN4_F_SM,VIN4_F_SM,failed,VIN4
VIN5_F_SM,VIN5_F_SM,failed,VIN5
VIN6_F_SM,VIN6_F_SM,failed,VIN6
VIN7_F_SM,VIN7_F_SM,failed,VIN7
VIN8_F_SM,VIN8_F_SM,failed,VIN8
VIN9_F_SM,VIN9_F_SM,failed,VIN9
VIN10_F_SM,VIN10_F_SM,failed,VIN10
VIN11_F_SM,VIN11_F_SM,failed,VIN11
VIN12_F_SM,VIN12_F_SM,failed,VIN12
VIN13_F_SM,VIN13_F_SM,failed,VIN13
VIN14_F_SM,VIN14_F_SM,failed,VIN14
VIN1_NF_SM,VIN15_NF_SM,non_failed,VIN1
VIN2_NF_SM,VIN16_NF_SM,non_failed,VIN2
VIN3_NF_SM,VIN17_NF_SM,non_failed,VIN3
VIN4_NF_SM,VIN18_NF_SM,non_failed,VIN4
VIN5_NF_SM,VIN19_NF_SM,non_failed,VIN5
VIN6_NF_SM,VIN20_NF_SM,non_failed,VIN6
VIN7_NF_SM,VIN21_NF_SM,non_failed,VIN7
VIN8_NF_SM,VIN22_NF_SM,non_failed,VIN8
VIN9_NF_SM,VIN23_NF_SM,non_failed,VIN9
VIN10_NF_SM,VIN24_NF_SM,non_failed,VIN10
VIN11_NF_SM,VIN25_NF_SM,non_failed,VIN11
VIN12_NF_SM,VIN26_NF_SM,non_failed,VIN12
VIN13_NF_SM,VIN27_NF_SM,non_failed,VIN13
VIN14_NF_SM,VIN28_NF_SM,non_failed,VIN14
VIN15_NF_SM,VIN29_NF_SM,non_failed,VIN15
VIN16_NF_SM,VIN30_NF_SM,non_failed,VIN16
VIN17_NF_SM,VIN31_NF_SM,non_failed,VIN17
VIN18_NF_SM,VIN32_NF_SM,non_failed,VIN18
VIN19_NF_SM,VIN33_NF_SM,non_failed,VIN19
VIN20_NF_SM,VIN34_NF_SM,non_failed,VIN20
