vin_label,failed,rows,t_start,t_end,active_days_total,n_weeks,weeks_lt2_active_days,csp_null_pct,rpm_null_pct,anr_null_pct,vsi_null_pct,sma_null_pct,ged_null_pct,saledate,jcopendate,gap_days
VIN10_F_SM,true,1837988,2024-07-01 16:02:28,2025-12-29 23:57:08,416,62,2,0.0242,0.0242,0.0242,0.0242,0.0242,0.0271,2024-06-30,2025-12-29,0
VIN10_NF_SM,false,3168806,2024-01-01 05:29:59,2025-02-26 08:42:00,421,61,0,0.034,0.0181,0.0545,0.7855,0.9992,0.9951,"","",""
VIN11_F_SM,true,2702394,2024-03-27 12:47:27,2025-11-22 23:45:55,445,65,0,0.0189,0.0189,0.0189,0.0189,0.0189,0.0189,2024-03-27,2025-11-22,0
VIN11_NF_SM,false,4678423,2023-12-31 20:14:05,2025-05-27 07:29:01,490,74,1,0.0596,0.0449,0.2135,0.8159,0.9974,0.9978,"","",""
VIN12_F_SM,true,2490690,2024-12-27 06:33:47,2025-12-07 23:54:55,344,50,0,0.0154,0.0153,0.0153,0.015,0.0153,0.5201,2024-12-13,2025-12-07,0
VIN12_NF_SM,false,3192514,2024-01-01 05:30:01,2026-02-18 01:26:19,723,106,0,0.0371,0.0365,0.1062,0.8086,0.9986,0.9982,"","",""
VIN13_F_SM,true,1629920,2024-07-31 00:11:46,2025-11-06 23:55:54,460,67,0,0.0386,0.0386,0.0386,0.0385,0.0386,0.1583,2024-07-31,2025-11-06,0
VIN13_NF_SM,false,3868675,2024-01-01 05:40:28,2025-07-28 07:15:38,524,83,2,0.027,0.0192,0.0272,0.178,0.999,0.9984,"","",""
VIN14_F_SM,true,2883142,2024-07-03 17:01:38,2025-11-17 23:59:55,457,69,1,0.0241,0.0241,0.024,0.024,0.024,0.029,2024-06-30,2025-11-17,0
VIN14_NF_SM,false,3422746,2024-01-19 11:06:19,2026-02-18 01:26:57,719,108,1,0.0236,0.0236,0.0236,0.0218,0.0236,0.0236,"","",""
VIN15_NF_SM,false,3191966,2024-01-30 01:23:27,2026-02-18 01:29:55,721,107,0,0.0323,0.0323,0.0322,0.0319,0.0322,0.0333,"","",""
VIN16_NF_SM,false,5315087,2024-01-12 12:31:08,2026-02-16 11:31:33,575,93,3,0.0087,0.0087,0.0086,0.0087,0.0086,0.01,"","",""
VIN17_NF_SM,false,3374585,2024-07-17 20:09:55,2026-02-18 01:26:56,458,68,0,0.0156,0.0163,0.0156,0.0155,0.0156,0.0698,"","",""
VIN18_NF_SM,false,3953484,2024-03-22 22:00:17,2026-02-11 05:37:55,596,94,2,0.0689,0.0692,0.0689,0.0689,0.0689,0.0698,"","",""
VIN19_NF_SM,false,3601637,2024-05-03 10:45:52,2026-02-18 00:43:54,602,92,1,0.0219,0.0219,0.0219,0.0219,0.0219,0.0248,"","",""
VIN1_F_SM,true,1303473,2024-09-30 16:21:41,2025-09-15 08:10:22,305,47,3,0.0354,0.0353,0.0353,0.0353,0.0353,0.5713,2024-09-30,2025-11-26,72
VIN1_NF_SM,false,4500188,2024-02-02 18:12:43,2026-02-18 01:17:56,642,99,1,0.0218,0.0218,0.0217,0.0217,0.0217,0.2011,"","",""
VIN20_NF_SM,false,4372039,2024-01-01 05:29:51,2025-09-26 11:40:04,626,91,0,0.0394,0.0308,0.0913,0.7426,0.9981,0.9949,"","",""
VIN2_F_SM,true,843430,2025-06-27 09:26:53,2025-12-13 23:58:46,163,25,0,0.0331,0.0331,0.0331,0.0202,0.0331,0.0331,2025-06-25,2025-12-13,0
VIN2_NF_SM,false,3339979,2024-01-22 15:37:37,2026-02-18 01:31:52,687,103,1,0.0245,0.0245,0.0245,0.0214,0.0245,0.0245,"","",""
VIN3_F_SM,true,1165335,2025-04-08 00:11:46,2025-12-16 23:50:54,248,37,0,0.0417,0.0417,0.0417,0.0417,0.0417,0.2791,2025-04-08,2025-12-16,0
VIN3_NF_SM,false,3272138,2024-03-18 14:56:12,2026-02-18 01:27:54,693,101,0,0.021,0.021,0.021,0.021,0.021,0.021,"","",""
VIN4_F_SM,true,1227142,2025-03-05 16:57:15,2025-08-02 06:55:49,151,22,0,0.0118,0.0118,0.0118,0.0118,0.0118,0.2811,2025-03-05,2025-11-07,97
VIN4_NF_SM,false,3765513,2024-03-22 21:47:16,2026-02-13 01:08:56,588,90,1,0.024,0.024,0.024,0.0233,0.024,0.3713,"","",""
VIN5_F_SM,true,1275868,2024-04-30 00:13:45,2025-10-27 16:20:21,219,33,1,0.0199,0.0198,0.0198,0.0198,0.0198,0.1588,2024-04-30,2025-11-28,32
VIN5_NF_SM,false,4254893,2024-04-03 08:20:43,2026-02-17 09:52:05,622,96,2,0.0304,0.0302,0.0302,0.0303,0.0302,0.5192,"","",""
VIN6_F_SM,true,2219533,2024-10-03 17:33:31,2025-11-04 23:53:54,396,58,0,0.0211,0.0211,0.0211,0.0216,0.0211,0.0211,2024-09-30,2025-11-04,0
VIN6_NF_SM,false,3573023,2024-02-28 13:52:19,2026-02-18 01:29:56,602,93,1,0.0315,0.0315,0.0315,0.0315,0.0315,0.3143,"","",""
VIN7_F_SM,true,2733480,2024-04-30 15:26:34,2025-11-08 23:59:54,543,79,0,0.0272,0.0272,0.0272,0.0269,0.0272,0.5579,2024-04-30,2025-11-08,0
VIN7_NF_SM,false,3991540,2024-02-22 09:09:19,2026-02-18 01:21:57,706,104,0,0.0223,0.0223,0.0222,0.0216,0.0222,0.0222,"","",""
VIN8_F_SM,true,4802641,2024-01-31 00:03:34,2025-10-26 23:09:22,547,82,1,0.0247,0.0228,0.2664,0.7552,0.9984,0.9987,2024-01-31,2025-12-02,37
VIN8_NF_SM,false,3349684,2024-03-01 20:18:06,2026-02-18 01:31:52,692,103,0,0.0291,0.0291,0.029,0.0283,0.029,0.029,"","",""
VIN9_F_SM,true,3810537,2024-01-31 00:25:33,2025-06-29 19:34:22,501,74,0,0.0222,0.0196,0.054,0.8145,0.9985,0.9978,2024-01-31,2025-11-18,142
