vin_label,label,ever_fires,first_fire_date,lead_days,n_episodes
VIN10_F_SM,1,False,,,0
VIN10_NF_SM,0,True,2024-03-25,338.0,1
VIN11_F_SM,1,True,2025-03-10,257.0,1
VIN11_NF_SM,0,True,2024-03-11,442.0,1
VIN12_F_SM,1,False,,,0
VIN12_NF_SM,0,True,2025-09-01,170.0,1
VIN13_F_SM,1,True,2025-01-06,304.0,1
VIN13_NF_SM,0,True,2024-02-26,518.0,1
VIN14_F_SM,1,True,2025-07-14,126.0,1
VIN14_NF_SM,0,True,2024-07-08,590.0,6
VIN15_NF_SM,0,True,2025-03-03,352.0,1
VIN16_NF_SM,0,False,,,0
VIN17_NF_SM,0,False,,,0
VIN18_NF_SM,0,False,,,0
VIN19_NF_SM,0,False,,,0
VIN1_F_SM,1,True,2025-07-07,70.0,1
VIN1_NF_SM,0,False,,,0
VIN20_NF_SM,0,True,2024-03-25,550.0,1
VIN2_F_SM,1,True,2025-09-29,75.0,1
VIN2_NF_SM,0,True,2025-10-20,121.0,1
VIN3_F_SM,1,True,2025-07-21,148.0,1
VIN3_NF_SM,0,True,2025-09-08,163.0,1
VIN4_F_SM,1,False,,,0
VIN4_NF_SM,0,False,,,0
VIN5_F_SM,1,False,,,0
VIN5_NF_SM,0,True,2024-12-16,428.0,2
VIN6_F_SM,1,True,2025-05-26,162.0,1
VIN6_NF_SM,0,True,2025-01-20,394.0,1
VIN7_F_SM,1,False,,,0
VIN7_NF_SM,0,True,2024-05-27,632.0,2
VIN8_F_SM,1,False,,,0
VIN8_NF_SM,0,True,2024-08-12,555.0,1
VIN9_F_SM,1,False,,,0
VIN9_NF_SM,0,True,2025-05-19,267.0,2
