vin_label,tier_k0,a2_active,band
VIN10_F_SM,RED,False,persistence_AND_RED
VIN10_NF_SM,AMBER,False,AMBER_only
VIN11_F_SM,RED,False,persistence_AND_RED
VIN11_NF_SM,GREEN,False,GREEN_no_action
VIN12_F_SM,RED,False,persistence_AND_RED
VIN12_NF_SM,GREEN,False,GREEN_no_action
VIN13_F_SM,RED,True,A2_battery_cascade
VIN13_NF_SM,GREEN,False,GREEN_no_action
VIN14_F_SM,RED,True,A2_battery_cascade
VIN14_NF_SM,GREEN,False,GREEN_no_action
VIN15_NF_SM,GREEN,False,GREEN_no_action
VIN16_NF_SM,GREEN,False,GREEN_no_action
VIN17_NF_SM,GREEN,False,GREEN_no_action
VIN18_NF_SM,GREEN,False,GREEN_no_action
VIN19_NF_SM,GREEN,False,GREEN_no_action
VIN1_F_SM,GREEN,False,GREEN_no_action
VIN1_NF_SM,GREEN,False,GREEN_no_action
VIN20_NF_SM,RED,False,persistence_AND_RED
VIN2_F_SM,RED,False,persistence_AND_RED
VIN2_NF_SM,AMBER,False,AMBER_only
VIN3_F_SM,GREEN,True,A2_battery_cascade
VIN3_NF_SM,GREEN,False,GREEN_no_action
VIN4_F_SM,AMBER,False,AMBER_only
VIN4_NF_SM,GREEN,False,GREEN_no_action
VIN5_F_SM,RED,False,persistence_AND_RED
VIN5_NF_SM,RED,False,persistence_AND_RED
VIN6_F_SM,RED,True,A2_battery_cascade
VIN6_NF_SM,GREEN,False,GREEN_no_action
VIN7_F_SM,RED,False,persistence_AND_RED
VIN7_NF_SM,GREEN,False,GREEN_no_action
VIN8_F_SM,RED,False,persistence_AND_RED
VIN8_NF_SM,GREEN,False,GREEN_no_action
VIN9_F_SM,GREEN,False,GREEN_no_action
VIN9_NF_SM,GREEN,False,GREEN_no_action
