vin_label,failed,prob_expanded,winner_feats,k,cold_dip_in_winner,rpm_rise_in_winner
VIN10_F_SM,1,0.6834,vsi_withinwk_std_ratio_30d_w|cold_dip_delta90|rpm_rise_lag_delta90,3,1,1
VIN10_NF_SM,0,0.4111,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|cold_dip_delta90|vsi_range_trend|vsi_trend_persistence,5,1,0
VIN11_F_SM,1,0.6507,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0,0
VIN11_NF_SM,0,0.3704,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_trend_persistence|cold_dip_delta90|vsi_range_trend,5,1,0
VIN12_F_SM,1,0.6172,vsi_withinwk_std_ratio_30d_w|cold_dip_delta90|rpm_rise_lag_delta90,3,1,1
VIN12_NF_SM,0,0.3526,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_trend_persistence|cold_dip_delta90|vsi_range_trend,5,1,0
VIN13_F_SM,1,0.502,vsi_withinwk_std_ratio_30d_w|vsi_range_trend|vsi_trend_persistence|rest_vsi_p05_delta90|cold_dip_delta90,5,1,0
VIN13_NF_SM,0,0.4471,vsi_withinwk_std_ratio_30d_w|cold_dip_delta90|rpm_rise_lag_delta90,3,1,1
VIN14_F_SM,1,0.798,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0,0
VIN14_NF_SM,0,0.2373,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_trend_persistence|cold_dip_delta90|vsi_range_trend,5,1,0
VIN15_NF_SM,0,0.3989,vsi_withinwk_std_ratio_30d_w|dip_depth_last90_delta|vsi_range_trend,3,0,0
VIN16_NF_SM,0,0.2913,vsi_withinwk_std_ratio_30d_w|cold_dip_delta90|rest_vsi_p05_delta90|vsi_range_trend,4,1,0
VIN17_NF_SM,0,0.3395,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|cold_dip_delta90|vsi_range_trend|vsi_trend_persistence,5,1,0
VIN18_NF_SM,0,0.3319,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_trend_persistence|vsi_range_trend|cold_dip_delta90,5,1,0
VIN19_NF_SM,0,0.4177,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|rpm_rise_lag_delta90|vsi_range_trend,4,0,1
VIN1_F_SM,1,0.4057,vsi_withinwk_std_ratio_30d_w|dip_depth_last90_delta|rest_vsi_p05_delta90|vsi_range_trend,4,0,0
VIN1_NF_SM,0,0.2663,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|cold_dip_delta90|vsi_range_trend|vsi_trend_persistence,5,1,0
VIN20_NF_SM,0,0.4936,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_trend_persistence|cold_dip_delta90|vsi_range_trend,5,1,0
VIN2_F_SM,1,0.5984,vsi_withinwk_std_ratio_30d_w|vsi_range_trend|rest_vsi_p05_delta90,3,0,0
VIN2_NF_SM,0,0.4561,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|dip_depth_last90_delta|vsi_range_trend,4,0,0
VIN3_F_SM,1,0.438,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0,0
VIN3_NF_SM,0,0.32,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|rpm_rise_lag_delta90|vsi_range_trend|cold_dip_delta90,5,1,1
VIN4_F_SM,1,0.3781,vsi_withinwk_std_ratio_30d_w|vsi_trend_persistence|dip_depth_last90_delta|rest_vsi_p05_delta90|vsi_range_trend|rpm_rise_lag_delta90,6,0,1
VIN4_NF_SM,0,0.3478,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|dip_depth_last90_delta|vsi_range_trend,4,0,0
VIN5_F_SM,1,0.8234,vsi_withinwk_std_ratio_30d_w|rpm_rise_lag_delta90|cold_dip_delta90|vsi_range_trend,4,1,1
VIN5_NF_SM,0,0.626,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|cold_dip_delta90|vsi_trend_persistence|vsi_range_trend,5,1,0
VIN6_F_SM,1,0.8247,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_range_trend,3,0,0
VIN6_NF_SM,0,0.316,vsi_withinwk_std_ratio_30d_w|dip_depth_last90_delta|vsi_range_trend,3,0,0
VIN7_F_SM,1,0.5676,vsi_withinwk_std_ratio_30d_w|cold_dip_delta90|rest_vsi_p05_delta90|vsi_range_trend,4,1,0
VIN7_NF_SM,0,0.3949,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_trend_persistence|cold_dip_delta90|vsi_range_trend|rpm_rise_lag_delta90,6,1,1
VIN8_F_SM,1,0.424,vsi_withinwk_std_ratio_30d_w|cold_dip_delta90|rpm_rise_lag_delta90,3,1,1
VIN8_NF_SM,0,0.4138,vsi_withinwk_std_ratio_30d_w|cold_dip_delta90|rpm_rise_lag_delta90,3,1,1
VIN9_F_SM,1,0.4087,vsi_withinwk_std_ratio_30d_w|rest_vsi_p05_delta90|vsi_trend_persistence|cold_dip_delta90|vsi_range_trend,5,1,0
VIN9_NF_SM,0,0.3471,vsi_withinwk_std_ratio_30d_w|vsi_trend_persistence|rest_vsi_p05_delta90|vsi_range_trend|cold_dip_delta90,5,1,0
