vin_label,failed,total_crank_events,cwr_proxy_events,cwr_rate_per_year,truck_years
VIN10_F_SM,1,140,106,70.91,1.49
VIN10_NF_SM,0,443,353,305.53,1.16
VIN11_F_SM,1,192,183,110.48,1.66
VIN11_NF_SM,0,4139,2600,1854.79,1.4
VIN12_F_SM,1,349,343,363.13,0.94
VIN12_NF_SM,0,480,452,212.2,2.13
VIN13_F_SM,1,158,156,123.06,1.27
VIN13_NF_SM,0,429,351,223.35,1.57
VIN14_F_SM,1,669,469,341.24,1.37
VIN14_NF_SM,0,207,200,96.12,2.08
VIN15_NF_SM,0,942,849,413.46,2.05
VIN16_NF_SM,0,254,248,118.41,2.09
VIN17_NF_SM,0,597,592,372.81,1.59
VIN18_NF_SM,0,385,375,198.51,1.89
VIN19_NF_SM,0,202,196,109.3,1.79
VIN1_F_SM,1,546,490,512.82,0.96
VIN1_NF_SM,0,290,288,141.01,2.04
VIN20_NF_SM,0,1522,1296,746.63,1.74
VIN2_F_SM,1,136,110,237.74,0.46
VIN2_NF_SM,0,281,256,123.52,2.07
VIN3_F_SM,1,262,260,376.85,0.69
VIN3_NF_SM,0,242,236,122.97,1.92
VIN4_F_SM,1,244,237,580.97,0.41
VIN4_NF_SM,0,1025,938,495.09,1.89
VIN5_F_SM,1,79,60,40.21,1.49
VIN5_NF_SM,0,761,656,349.79,1.88
VIN6_F_SM,1,191,181,166.52,1.09
VIN6_NF_SM,0,685,582,295.24,1.97
VIN7_F_SM,1,772,723,474.1,1.52
VIN7_NF_SM,0,584,582,292.8,1.99
VIN8_F_SM,1,1929,1772,1020.86,1.74
VIN8_NF_SM,0,511,440,223.83,1.97
VIN9_F_SM,1,684,619,439.01,1.41
VIN9_NF_SM,0,128,123,62.92,1.95
