vin_label,failed,n_episodes,n_cwr_rows,ep_per_truck_yr
VIN1_F_SM,true,12,11,14.37
VIN2_F_SM,true,3,2,6.722
VIN3_F_SM,true,10,9,14.728
VIN4_F_SM,true,9,8,21.77
VIN5_F_SM,true,5,6,8.339
VIN6_F_SM,true,8,7,7.379
VIN7_F_SM,true,20,20,13.453
VIN10_F_SM,true,7,6,6.146
VIN11_F_SM,true,4,3,3.283
VIN12_F_SM,true,13,12,13.803
VIN13_F_SM,true,13,13,10.322
VIN14_F_SM,true,35,35,27.973
VIN16_NF_SM,false,10,9,6.352
VIN18_NF_SM,false,17,18,10.418
VIN1_NF_SM,false,12,13,6.827
VIN4_NF_SM,false,30,30,18.635
VIN7_NF_SM,false,15,15,7.76
VIN17_NF_SM,false,12,11,9.57
VIN8_NF_SM,false,14,13,7.389
VIN5_NF_SM,false,46,46,27.012
VIN19_NF_SM,false,11,10,6.674
