vin_label,failed,n_rows_valid,n_cwr_rows,n_episodes,active_days,ep_per_truck_yr,note
VIN1_F_SM,true,1257442,11,12,305,14.37,""
VIN2_F_SM,true,815474,2,3,163,6.722,""
VIN3_F_SM,true,1116788,9,10,248,14.728,""
VIN4_F_SM,true,1212695,8,9,151,21.77,""
VIN5_F_SM,true,1250570,6,5,219,8.339,""
VIN6_F_SM,true,2172759,7,8,396,7.379,""
VIN7_F_SM,true,2659239,20,20,543,13.453,""
VIN8_F_SM,true,0,0,0,547,NaN,SMA_DEAD_EXCLUDED
VIN9_F_SM,true,0,0,0,501,NaN,SMA_DEAD_EXCLUDED
VIN10_F_SM,true,1793553,6,7,416,6.146,""
VIN11_F_SM,true,2651357,3,4,445,3.283,""
VIN12_F_SM,true,2452560,12,13,344,13.803,""
VIN13_F_SM,true,1567052,13,13,460,10.322,""
VIN14_F_SM,true,2813785,35,35,457,27.973,""
VIN16_NF_SM,false,5270902,9,10,575,6.352,""
VIN18_NF_SM,false,4295809,18,17,596,10.418,""
VIN1_NF_SM,false,4406462,13,12,642,6.827,""
VIN4_NF_SM,false,3680194,30,30,588,18.635,""
VIN7_NF_SM,false,3906262,15,15,706,7.76,""
VIN17_NF_SM,false,3319487,11,12,458,9.57,""
VIN8_NF_SM,false,3252410,13,14,692,7.389,""
VIN5_NF_SM,false,4127250,46,46,622,27.012,""
VIN19_NF_SM,false,3522933,10,11,602,6.674,""
