vin_label,alarm_start_date,s7_value,threshold,lead_to_t_end_days,lead_to_jcopendate_days
VIN1_F_SM,2025-04-08,21.0,11.94,155,232
VIN1_F_SM,2025-06-24,16.0,11.94,78,155
VIN4_NF_SM,2025-07-04,27.0,9.88,220,
VIN4_NF_SM,2025-10-18,11.0,9.88,114,
VIN4_NF_SM,2026-01-08,14.0,9.88,32,
VIN15_NF_SM,2025-02-08,9.0,6.44,374,
VIN15_NF_SM,2025-02-26,11.0,6.44,356,
VIN15_NF_SM,2025-04-14,19.0,6.44,309,
VIN15_NF_SM,2025-08-04,24.0,6.44,197,
VIN15_NF_SM,2025-09-03,8.0,6.44,167,
VIN15_NF_SM,2025-10-19,11.0,6.44,121,
VIN5_NF_SM,2025-03-25,19.0,13.43,329,
VIN5_NF_SM,2025-07-18,21.0,13.43,214,
