vin_label,failed,n_weeks,ts_vsi_std_slope_per_week,early_fleet_rank_pct,late_fleet_rank_pct,fleet_rank_drift,ts_fleet_rank_slope,weeks_above_p70_fleet,first_week_above_p70,ts_retry_rate_slope_per_week
VIN10_F_SM,1,62,0.0015011805555094843,0.2888246525755635,0.7079745129311693,0.4191498603556058,0.010044283413848632,9.0,1.0,0.0
VIN10_NF_SM,0,61,0.0002812027434508006,0.6639544399236317,0.774037584382412,0.11008314445878031,0.004807924358097368,38.0,8.0,NaN
VIN11_F_SM,1,65,0.0011174033302813768,0.3824828111960307,0.623310574933293,0.24082776373726228,0.0069603019787535855,10.0,1.0,0.0
VIN11_NF_SM,0,74,-0.0004371926422029453,0.7934202240084359,0.8143211895143867,0.020900965505950775,0.0007428061602839137,66.0,3.0,NaN
VIN12_F_SM,1,50,0.003260768949985504,0.6008965481023323,0.7537385691231845,0.1528420210208522,0.004906015037593984,18.0,0.0,0.0
VIN12_NF_SM,0,106,-0.000013978053361941607,0.7332856662984563,0.7481186238379915,0.014832957539535285,0.00031123560535325264,60.0,1.0,NaN
VIN13_F_SM,1,67,0.01932237341123469,0.5155468350295936,0.9128366648752045,0.3972898298456109,0.00497685185185185,48.0,1.0,0.0
VIN13_NF_SM,0,83,-0.0022052661196826254,0.945552234876517,0.9076866712573052,-0.037865563619211784,-0.00007631257631257604,83.0,0.0,NaN
VIN14_F_SM,1,69,0.012089411131082438,0.5609808730447675,0.8799147978458323,0.31893392480106475,0.006451612903225814,39.0,6.0,0.0
VIN14_NF_SM,0,108,0.00012750688352082906,0.4761113515357751,0.6075171801500491,0.13140582861427397,0.0020731707317073167,18.0,28.0,0.0
VIN15_NF_SM,0,107,0.0002450257765524315,0.3473011590575543,0.5087619621679649,0.16146080311041056,0.0029411764705882357,5.0,11.0,0.0
VIN16_NF_SM,0,93,-1.4967230312964495e-6,0.42378495913970937,0.300209472701205,-0.12357548643850436,0.00012762355252274668,10.0,0.0,0.0
VIN17_NF_SM,0,68,-0.0002641760640674167,0.7038476140237355,0.5798820626094803,-0.12396555141425525,-0.0018296252927400476,22.0,0.0,0.0
VIN18_NF_SM,0,94,-0.000024118539908913525,0.18509151672537721,0.12389852614623549,-0.06119299057914172,-0.0003968253968253966,5.0,0.0,0.0
VIN19_NF_SM,0,92,0.00021121930330991745,0.2612999196736046,0.4042957159687204,0.14299579629511577,0.0029276382589859882,3.0,0.0,0.0
VIN1_F_SM,1,47,0.0002999715507030487,0.46094926328916486,0.4310934430789825,-0.02985582021018235,0.0007916959887403195,1.0,6.0,0.0
VIN1_NF_SM,0,99,-0.00017330391953388852,0.17997184761747867,0.08306714181696592,-0.09690470580051275,-0.0013596574993633816,2.0,4.0,0.0
VIN20_NF_SM,0,91,0.0004990556836128235,0.6615215277465549,0.7415059496594535,0.07998442191289856,0.001556178026766262,57.0,4.0,NaN
VIN2_F_SM,1,25,0.0010853906176866049,0.2272383034164643,0.48661995898838006,0.2593816555719157,0.017730253463012102,2.0,22.0,0.0
VIN2_NF_SM,0,103,0.00046791938635019155,0.2163373069731577,0.6030093801933823,0.3866720732202247,0.004362877602314222,14.0,8.0,0.0
VIN3_F_SM,1,37,0.030290385974305015,0.7324431790258017,0.9211781558272786,0.18873497680147688,0.0068108974358974395,29.0,0.0,0.0
VIN3_NF_SM,0,101,0.0000337707277919565,0.35446327556103635,0.30960198111142384,-0.04486129444961251,-0.0011227786133610534,2.0,0.0,0.0
VIN4_F_SM,1,22,0.001507740467786789,0.1901995483196818,0.4581691297208539,0.2679695814011721,0.019061302681992336,0.0,NaN,0.0
VIN4_NF_SM,0,90,-3.8952344939822246e-6,0.190400789647341,0.15699569378513384,-0.03340509586220716,-0.00012938867303193707,3.0,0.0,0.0
VIN5_F_SM,1,33,0.006791564721416159,0.4158038291127368,0.9626958689458689,0.5468920398331321,0.022642216306812582,11.0,19.0,0.0
VIN5_NF_SM,0,96,0.00006210234235314762,0.4656479735673612,0.5626030073820826,0.09695503381472137,0.000489252747969603,9.0,0.0,0.0
VIN6_F_SM,1,58,0.021190243107931956,0.6337610525760194,0.9112439663359203,0.27748291375990086,0.00716117216117216,33.0,1.0,0.0
VIN6_NF_SM,0,93,0.00009254228911901776,0.3401339799835074,0.3762162586556329,0.03608227867212549,-0.00014478365185736726,7.0,3.0,0.0
VIN7_F_SM,1,79,0.001385555975139141,0.32232290477640474,0.7503904011059183,0.4280674963295135,0.008571428571428572,18.0,2.0,0.0
VIN7_NF_SM,0,104,0.00006294782305585927,0.2933901613217277,0.23544069894078826,-0.057949462380939426,-0.0006842678591904598,8.0,0.0,0.0
VIN8_F_SM,1,82,0.0002166475686762068,0.8107706727660162,0.74074094073232,-0.07002973203369622,-0.0014002821972461442,61.0,1.0,NaN
VIN8_NF_SM,0,103,0.0002861886689404272,0.46725772047089437,0.6325839914986974,0.165326271027803,0.0030060024737730232,13.0,0.0,0.0
VIN9_F_SM,1,74,0.00017864975546087538,0.7076707116404585,0.7563528537695742,0.0486821421291157,0.0007508342602892107,59.0,0.0,NaN
VIN9_NF_SM,0,100,0.00006144092633174016,0.41298015971773394,0.3778262735716297,-0.03515388614610426,-0.0002822580645161293,1.0,93.0,0.0
