vin_label,failed,n_weeks,taper_ratio_final,trailing_4wk_mean_ratio,taper_alarm,taper_alarm_onset,silence_days,vsi_null_drift_pp,vsi_null_alarm,sma_null_drift_pp,sma_null_alarm
VIN10_F_SM,True,62,2.0105,1.8422,False,,165,-13.61,False,-13.61,False
VIN10_NF_SM,False,61,1.2051,1.006,False,,473,1.46,False,-0.0,False
VIN11_F_SM,True,65,1.2404,1.0264,False,,207,1.01,False,1.01,False
VIN11_NF_SM,False,74,0.6167,1.0536,False,,382,-1.34,False,0.05,False
VIN12_F_SM,True,50,1.0357,1.1561,False,,193,-0.17,False,-0.16,False
VIN12_NF_SM,False,106,0.319,0.7698,False,,116,0.11,False,-0.01,False
VIN13_F_SM,True,67,0.8924,0.9639,False,,221,1.67,False,1.68,False
VIN13_NF_SM,False,83,0.1083,0.6425,False,,319,-4.54,False,0.01,False
VIN14_F_SM,True,69,1.7109,1.1359,False,,207,2.22,False,2.2,False
VIN14_NF_SM,False,108,0.9191,1.2571,False,,116,-0.95,False,-1.25,False
VIN15_NF_SM,False,107,0.7658,0.9345,False,,116,0.49,False,0.5,False
VIN16_NF_SM,False,93,0.0053,0.5339,True,2026-02-09,116,1.5,False,1.5,False
VIN17_NF_SM,False,68,0.6847,0.8702,False,,116,0.18,False,0.19,False
VIN18_NF_SM,False,94,1.1508,1.1574,False,,123,-6.49,False,-6.49,False
VIN19_NF_SM,False,92,0.7937,0.9343,False,,116,0.36,False,0.36,False
VIN1_F_SM,True,47,0.0071,0.0387,True,2025-07-28,270,53.54,True,53.57,True
VIN1_NF_SM,False,99,0.7748,0.9398,False,,116,-0.78,False,-0.77,False
VIN20_NF_SM,False,91,0.6477,2.6969,False,,263,-13.12,False,-0.0,False
VIN2_F_SM,True,25,1.6523,1.2852,False,,186,-0.25,False,-1.18,False
VIN2_NF_SM,False,103,0.5141,0.831,False,,116,0.06,False,0.07,False
VIN3_F_SM,True,37,0.8749,1.0001,False,,179,2.96,False,2.95,False
VIN3_NF_SM,False,101,1.0057,1.0195,False,,116,0.01,False,0.01,False
VIN4_F_SM,True,22,1.0343,0.9518,False,,319,-0.33,False,-0.33,False
VIN4_NF_SM,False,90,0.5134,0.7783,False,,123,0.46,False,0.46,False
VIN5_F_SM,True,33,0.116,0.593,True,2024-12-02,228,18.82,True,18.82,True
VIN5_NF_SM,False,96,0.6093,0.8537,False,,116,-2.89,False,-2.89,False
VIN6_F_SM,True,58,0.2544,0.8794,False,,221,2.34,False,2.65,False
VIN6_NF_SM,False,93,0.8066,1.459,False,,116,-11.47,False,-11.47,False
VIN7_F_SM,True,79,1.8074,1.6522,False,,221,-1.16,False,-1.21,False
VIN7_NF_SM,False,104,0.0295,0.7602,True,2026-02-09,116,12.9,False,12.9,False
VIN8_F_SM,True,82,0.9444,0.8831,False,,235,13.45,False,0.04,False
VIN8_NF_SM,False,103,0.6102,0.8358,False,,116,-0.49,False,-0.48,False
VIN9_F_SM,True,74,1.1277,0.8818,False,,354,0.52,False,0.04,False
VIN9_NF_SM,False,100,0.489,0.7064,False,,123,0.73,False,0.73,False
