# SHADOW-EVAL-ONLY: 'label' column is ground-truth for evaluation only — do NOT surface to ops
vin,label,tier,prob,priority,trigger,evidence_state,h1_fires,h1_delta_prob,h2_fires,h2_consec_red,h5_fires,h5_weeks_above,a2_fired_ever,persistence_terminal_active,a1_episodes,a1_applicable,silence_days,silence_trigger_active,watchlist_badge,sma_dead_badge,weeks_observed,immature_badge,tier_uncapped
VIN10_F_SM,1,RED,0.9964,P0,H2_dwell_fired,persistence_terminal_AND_RED_tier,False,-0.0036,True,7,True,6,False,True,4,True,50,True,False,False,27,False,RED
VIN10_NF_SM,0,AMBER,0.3579,P2,AMBER_tier,AMBER_tier_no_channel,False,-0.066,False,0,False,0,False,False,0,False,356,True,False,True,27,False,AMBER
VIN11_F_SM,1,RED,0.9736,P1,RED_tier_no_channel_yet,RED_tier_no_channel_yet,True,0.3629,False,2,False,1,False,True,1,True,87,True,False,False,27,False,RED
VIN11_NF_SM,0,GREEN,0.1202,GREEN_OK,GREEN_tier,GREEN_tier_channel_fires_eventually,False,-0.0077,False,0,False,0,False,False,0,False,266,False,False,True,27,False,GREEN
VIN12_F_SM,1,RED,0.9579,P0,H2_dwell_fired,persistence_terminal_AND_RED_tier,True,0.3614,True,5,False,2,False,True,1,True,72,True,False,False,27,False,RED
VIN12_NF_SM,0,GREEN,0.0898,GREEN_OK,GREEN_tier,GREEN_tier_channel_fires_eventually,False,-0.0259,False,0,False,0,False,False,0,False,0,False,False,True,27,False,GREEN
VIN13_F_SM,1,RED,0.6692,P0,A2_battery_cascade_fired,A2_battery_cascade_fired,False,-0.2072,False,1,False,0,True,True,0,True,103,True,False,False,27,False,RED
VIN13_NF_SM,0,GREEN,0.1457,GREEN_OK,GREEN_tier,GREEN_tier_channel_fires_eventually,False,-0.0567,False,0,False,0,False,False,0,False,204,False,False,True,27,False,GREEN
VIN14_F_SM,1,RED,0.9958,P0,A2_battery_cascade_fired,A2_battery_cascade_fired,False,-0.0003,True,16,True,6,True,True,0,True,92,True,False,False,27,False,RED
VIN14_NF_SM,0,GREEN,0.0091,GREEN_OK,GREEN_tier,GREEN_tier_channel_fires_eventually,False,0.0036,False,0,False,0,False,False,0,True,0,False,False,False,27,False,GREEN
VIN15_NF_SM,0,GREEN,0.1126,GREEN_OK,GREEN_tier,GREEN_tier_channel_fires_eventually,False,0.0197,False,0,False,0,False,True,6,True,0,False,True,False,27,False,GREEN
