vin,priority,trigger,tier,prob,evidence_summary,window_statement,watchlist_badge,sma_dead_badge,silence_trigger_active,timestamp
VIN10_F_SM,P1,RED_tier_no_channel_yet,RED,0.6354,,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN10_F_SM,P0_OPS,silence_overlay,RED,0.6354,silence_overlay,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN12_F_SM,P1,RED_tier_no_channel_yet,RED,0.5509,,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN12_F_SM,P0_OPS,silence_overlay,RED,0.5509,silence_overlay,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN13_F_SM,P0,A2_battery_cascade_fired,AMBER,0.3675,,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN13_F_SM,P0_OPS,silence_overlay,AMBER,0.3675,silence_overlay,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN14_F_SM,P0,H2_dwell_fired,RED,0.9989,,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN14_F_SM,P0_OPS,silence_overlay,RED,0.9989,silence_overlay,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN20_NF_SM,P2,AMBER_tier,AMBER,0.4174,,,False,True,True,2026-06-12T19:44:13.977518+00:00
VIN20_NF_SM,P0_OPS,silence_overlay,AMBER,0.4174,silence_overlay,,False,True,True,2026-06-12T19:44:13.977518+00:00
VIN2_F_SM,P2,AMBER_tier,AMBER,0.4397,,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN2_F_SM,P0_OPS,silence_overlay,AMBER,0.4397,silence_overlay,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN2_NF_SM,P0,H2_dwell_fired,RED,0.9294,,,True,False,False,2026-06-12T19:44:13.977518+00:00
VIN3_F_SM,P0,A2_battery_cascade_fired,RED,0.6617,,,False,False,False,2026-06-12T19:44:13.977518+00:00
VIN5_F_SM,P0,H2_dwell_fired,RED,1.0000,,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN5_F_SM,P0_OPS,silence_overlay,RED,1.0000,silence_overlay,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN5_NF_SM,P2,AMBER_tier,AMBER,0.5023,,,True,False,False,2026-06-12T19:44:13.977518+00:00
VIN6_F_SM,P0,H2_dwell_fired,RED,0.9901,,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN6_F_SM,P0_OPS,silence_overlay,RED,0.9901,silence_overlay,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN6_NF_SM,P0,H2_dwell_fired,RED,0.8904,,,False,False,False,2026-06-12T19:44:13.977518+00:00
VIN7_F_SM,P1,RED_tier_no_channel_yet,RED,0.8912,,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN7_F_SM,P0_OPS,silence_overlay,RED,0.8912,silence_overlay,,False,False,True,2026-06-12T19:44:13.977518+00:00
VIN7_NF_SM,P2,AMBER_tier,AMBER,0.4264,,,False,False,False,2026-06-12T19:44:13.978532+00:00
VIN8_F_SM,P1,RED_tier_no_channel_yet,RED,0.5699,,,False,True,True,2026-06-12T19:44:13.978532+00:00
VIN8_F_SM,P0_OPS,silence_overlay,RED,0.5699,silence_overlay,,False,True,True,2026-06-12T19:44:13.978532+00:00
