# SHADOW-EVAL-ONLY: simulation week — not real pipeline output
vin,label,tier,prob,priority,trigger,evidence_state,h2_fires,h2_consec_red,a2_fired_ever,persistence_terminal_active,sma_dead_badge,silence_trigger_active,watchlist_badge
VIN10_F_SM,1,AMBER,0.5480,P2,AMBER_tier,AMBER_tier,False,2,False,True,False,True,False
VIN10_NF_SM,0,AMBER,0.3702,P2,AMBER_tier,AMBER_tier,False,0,False,False,True,True,False
VIN11_F_SM,1,RED,0.6853,P1,RED_tier_no_channel_yet,RED_tier_no_channel_yet,False,2,False,True,False,True,False
VIN11_NF_SM,0,GREEN,0.2327,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN12_F_SM,1,AMBER,0.4618,P2,AMBER_tier,AMBER_tier,False,2,False,True,False,True,False
VIN12_NF_SM,0,GREEN,0.2434,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN13_F_SM,1,GREEN,0.1845,P0,A2_battery_cascade_fired,A2_battery_cascade_fired,False,0,True,True,False,True,False
VIN13_NF_SM,0,GREEN,0.2076,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN14_F_SM,1,RED,0.9985,P0,H2_dwell_fired,H2_dwell_fired,True,6,True,True,False,True,False
VIN14_NF_SM,0,GREEN,0.0205,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN15_NF_SM,0,GREEN,0.2494,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,True
VIN16_NF_SM,0,GREEN,0.0495,GREEN_OK,GREEN_tier,GREEN_tier,False,2,False,False,False,False,False
VIN17_NF_SM,0,GREEN,0.0611,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN18_NF_SM,0,GREEN,0.2046,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN19_NF_SM,0,AMBER,0.3682,P2,AMBER_tier,AMBER_tier,False,0,False,False,False,False,False
VIN1_F_SM,1,GREEN,0.2561,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,False
VIN1_NF_SM,0,GREEN,0.0360,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN20_NF_SM,0,GREEN,0.3459,GREEN_OK,GREEN_tier,GREEN_tier,False,1,False,False,True,True,False
VIN2_F_SM,1,AMBER,0.4197,P2,AMBER_tier,AMBER_tier,False,0,False,True,False,True,False
VIN2_NF_SM,0,RED,0.9947,P0,H2_dwell_fired,H2_dwell_fired,True,6,False,True,False,False,True
VIN3_F_SM,1,RED,0.7399,P0,H2_dwell_fired,H2_dwell_fired,True,3,True,True,False,False,False
VIN3_NF_SM,0,GREEN,0.2288,GREEN_OK,GREEN_tier,GREEN_tier,False,1,False,False,False,False,False
VIN4_F_SM,1,GREEN,0.3414,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,True,False
VIN4_NF_SM,0,GREEN,0.0992,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
VIN5_F_SM,1,RED,0.9994,P0,H2_dwell_fired,H2_dwell_fired,True,6,False,True,False,True,False
VIN5_NF_SM,0,AMBER,0.4472,P2,AMBER_tier,AMBER_tier,False,0,False,True,False,False,True
VIN6_F_SM,1,RED,0.9834,P0,H2_dwell_fired,H2_dwell_fired,True,6,True,True,False,True,False
VIN6_NF_SM,0,GREEN,0.1332,P0,H2_dwell_fired,H2_dwell_fired,True,4,False,False,False,False,False
VIN7_F_SM,1,RED,0.9925,P0,H2_dwell_fired,H2_dwell_fired,True,4,False,True,False,True,False
VIN7_NF_SM,0,AMBER,0.3794,P2,AMBER_tier,AMBER_tier,False,0,False,False,False,False,False
VIN8_F_SM,1,AMBER,0.5334,P0,H2_dwell_fired,H2_dwell_fired,True,3,False,True,True,True,False
VIN8_NF_SM,0,GREEN,0.2092,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,True,False,False,True
VIN9_F_SM,1,GREEN,0.2412,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,True,False,False
VIN9_NF_SM,0,GREEN,0.1771,GREEN_OK,GREEN_tier,GREEN_tier,False,0,False,False,False,False,False
