feature,n_nonnull,mw_p,auroc_oriented,status
monsoon_start_share,34,0.0219,0.7357,EXPLORATORY_POST_GATE
hard_start_goodv_rate,34,0.0239,0.6875,EXPLORATORY_POST_GATE
consecutive_high_crank_days_max90,34,0.0404,0.6946,EXPLORATORY_POST_GATE
dropout_hours_per_week,34,0.0715,0.6857,EXPLORATORY_POST_GATE
vsi_valid_share,34,0.1037,0.6679,EXPLORATORY_POST_GATE
dip_resid_last90_median,32,0.1239,0.6464,EXPLORATORY_POST_GATE
weekly_engine_hours_trend,34,0.1779,0.6393,EXPLORATORY_POST_GATE
lowv_crank_share,34,0.1779,0.6393,EXPLORATORY_POST_GATE
soak_before_crank_median,34,0.2075,0.6304,EXPLORATORY_POST_GATE
pre_crank_vsi_median,34,0.2341,0.6232,EXPLORATORY_POST_GATE
voltage_stress_index,33,0.2512,0.6214,EXPLORATORY_POST_GATE
mean_trip_duration_min,34,0.2858,0.6107,EXPLORATORY_POST_GATE
stop_density,34,0.2858,0.6107,EXPLORATORY_POST_GATE
starts_per_100km,34,0.3913,0.5893,EXPLORATORY_POST_GATE
starts_per_active_day,34,0.4109,0.5857,EXPLORATORY_POST_GATE
crank_dur_p95,34,0.4311,0.5661,EXPLORATORY_POST_GATE
mean_trip_km,34,0.4311,0.5821,EXPLORATORY_POST_GATE
overnight_start_share,34,0.4372,0.525,EXPLORATORY_POST_GATE
overnight_off_share,34,0.4372,0.525,EXPLORATORY_POST_GATE
engine_hours_per_day,34,0.4518,0.5786,EXPLORATORY_POST_GATE
weekly_crank_rate,34,0.4732,0.575,EXPLORATORY_POST_GATE
soak_before_crank_p90,34,0.4732,0.575,EXPLORATORY_POST_GATE
short_trip_share,34,0.4732,0.575,EXPLORATORY_POST_GATE
cranks_per_trip,34,0.5403,0.5643,EXPLORATORY_POST_GATE
idle_share,34,0.5637,0.5607,EXPLORATORY_POST_GATE
dip_depth_last90_level,33,0.5723,0.5607,EXPLORATORY_POST_GATE
trips_per_day,34,0.6366,0.55,EXPLORATORY_POST_GATE
crank_success_ratio,34,0.6874,0.5429,EXPLORATORY_POST_GATE
lowv_consecutive_events_max,34,0.7783,0.5304,EXPLORATORY_POST_GATE
hot_restart_share,34,0.8474,0.5214,EXPLORATORY_POST_GATE
km_per_day,34,0.9025,0.5143,EXPLORATORY_POST_GATE
rest_vsi_trend_12w,34,0.9264,0.5107,EXPLORATORY_POST_GATE
heartbeat_coverage_share,34,1.0,0.5,EXPLORATORY_POST_GATE
