vin_label,dip_seasonal_contrast
VIN10_F_SM,-1.554703712463379
VIN10_NF_SM,
VIN11_F_SM,
VIN11_NF_SM,
VIN12_F_SM,
VIN12_NF_SM,
VIN13_F_SM,
VIN13_NF_SM,
VIN14_F_SM,-0.4624509811401367
VIN14_NF_SM,
VIN15_NF_SM,0.4647054672241211
VIN16_NF_SM,
VIN17_NF_SM,0.38864898681640625
VIN18_NF_SM,-1.2088203430175781
VIN19_NF_SM,
VIN1_F_SM,0.12437057495117188
VIN1_NF_SM,-0.35257434844970703
VIN20_NF_SM,
VIN2_F_SM,
VIN2_NF_SM,1.6537494659423828
VIN3_F_SM,1.8717613220214844
VIN3_NF_SM,-1.837057113647461
VIN4_F_SM,
VIN4_NF_SM,-0.36213207244873047
VIN5_F_SM,
VIN5_NF_SM,1.7024507522583008
VIN6_F_SM,
VIN6_NF_SM,1.918381690979004
VIN7_F_SM,-0.29514503479003906
VIN7_NF_SM,-0.4829387664794922
VIN8_F_SM,
VIN8_NF_SM,0.05187797546386719
VIN9_F_SM,
VIN9_NF_SM,
