vin_label,dose_dip_x_intensity
VIN10_F_SM,0.5667090810650167
VIN10_NF_SM,
VIN11_F_SM,-0.6202786389256556
VIN11_NF_SM,
VIN12_F_SM,0.5797307084077641
VIN12_NF_SM,
VIN13_F_SM,-0.8242184298194
VIN13_NF_SM,
VIN14_F_SM,-0.04914503666287453
VIN14_NF_SM,-0.204782134185752
VIN15_NF_SM,-0.8220775679750856
VIN16_NF_SM,-0.6045265453108197
VIN17_NF_SM,-0.1927230437119304
VIN18_NF_SM,0.40017664767769406
VIN19_NF_SM,0.26057805506584314
VIN1_F_SM,-2.840736538991312
VIN1_NF_SM,0.07948066798795556
VIN20_NF_SM,
VIN2_F_SM,-0.07286753158749001
VIN2_NF_SM,-0.1584394854953641
VIN3_F_SM,0.32772614954195173
VIN3_NF_SM,0.6570882768422287
VIN4_F_SM,-0.14918504234575772
VIN4_NF_SM,0.5828490589271204
VIN5_F_SM,0.6898738554741529
VIN5_NF_SM,-0.17139683275597054
VIN6_F_SM,-1.3840897519332676
VIN6_NF_SM,-0.03465179660835241
VIN7_F_SM,-0.970487777161124
VIN7_NF_SM,0.5913244407040124
VIN8_F_SM,
VIN8_NF_SM,-0.03236936502439438
VIN9_F_SM,
VIN9_NF_SM,1.6431988158244895
