vin_label,hard_start_goodv_rate_delta90
VIN10_F_SM,-0.021164021164021163
VIN10_NF_SM,
VIN11_F_SM,-0.005494505494505495
VIN11_NF_SM,
VIN12_F_SM,0.02197802197802198
VIN12_NF_SM,
VIN13_F_SM,0.0
VIN13_NF_SM,
VIN14_F_SM,-0.03579461474198316
VIN14_NF_SM,0.0
VIN15_NF_SM,-0.015957446808510637
VIN16_NF_SM,0.0
VIN17_NF_SM,0.0
VIN18_NF_SM,0.0
VIN19_NF_SM,0.011494252873563218
VIN1_F_SM,0.03528182432847747
VIN1_NF_SM,0.0
VIN20_NF_SM,
VIN2_F_SM,0.011627906976744186
VIN2_NF_SM,-0.005291005291005291
VIN3_F_SM,0.0
VIN3_NF_SM,0.0
VIN4_F_SM,0.011111111111111112
VIN4_NF_SM,-0.027438078092991494
VIN5_F_SM,-0.022727272727272728
VIN5_NF_SM,-0.015957446808510637
VIN6_F_SM,0.011627906976744186
VIN6_NF_SM,-0.016574585635359115
VIN7_F_SM,0.0005407678904043745
VIN7_NF_SM,0.0
VIN8_F_SM,
VIN8_NF_SM,-0.021164021164021163
VIN9_F_SM,
VIN9_NF_SM,0.0
