vin_label,tier_k0,a2_active,band,attribution,window_days,action
VIN10_F_SM,RED,False,persistence_AND_RED,INSUFFICIENT,"[126, 284]",monitor / data-quality follow-up
VIN10_NF_SM,AMBER,False,AMBER_only,INSUFFICIENT,None,monitor / data-quality follow-up
VIN11_F_SM,RED,False,persistence_AND_RED,INSUFFICIENT,"[126, 284]",monitor / data-quality follow-up
VIN11_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN12_F_SM,RED,False,persistence_AND_RED,INSUFFICIENT,"[126, 284]",monitor / data-quality follow-up
VIN12_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN13_F_SM,RED,True,A2_battery_cascade,BATTERY_FIRST,"[28, 91]","battery service first, then re-evaluate"
VIN13_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN14_F_SM,RED,True,A2_battery_cascade,BATTERY_FIRST,"[28, 91]","battery service first, then re-evaluate"
VIN14_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN15_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN16_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN17_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN18_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN19_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN1_F_SM,GREEN,False,GREEN_no_action,BATTERY_FIRST,None,"battery service first, then re-evaluate"
VIN1_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN20_NF_SM,RED,False,persistence_AND_RED,INSUFFICIENT,"[126, 284]",monitor / data-quality follow-up
VIN2_F_SM,RED,False,persistence_AND_RED,BATTERY_FIRST,"[28, 91]","battery service first, then re-evaluate"
VIN2_NF_SM,AMBER,False,AMBER_only,INSUFFICIENT,None,monitor / data-quality follow-up
VIN3_F_SM,GREEN,True,A2_battery_cascade,BATTERY_FIRST,"[28, 91]","battery service first, then re-evaluate"
VIN3_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN4_F_SM,AMBER,False,AMBER_only,INSUFFICIENT,None,monitor / data-quality follow-up
VIN4_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN5_F_SM,RED,False,persistence_AND_RED,INSUFFICIENT,"[126, 284]",monitor / data-quality follow-up
VIN5_NF_SM,RED,False,persistence_AND_RED,INSUFFICIENT,"[126, 284]",monitor / data-quality follow-up
VIN6_F_SM,RED,True,A2_battery_cascade,BATTERY_FIRST,"[28, 91]","battery service first, then re-evaluate"
VIN6_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN7_F_SM,RED,False,persistence_AND_RED,INSUFFICIENT,"[126, 284]",monitor / data-quality follow-up
VIN7_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN8_F_SM,RED,False,persistence_AND_RED,INSUFFICIENT,"[126, 284]",monitor / data-quality follow-up
VIN8_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN9_F_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
VIN9_NF_SM,GREEN,False,GREEN_no_action,INSUFFICIENT,None,monitor / data-quality follow-up
