gap_min_bin_lo,count
1,36002
2,37779
3,31261
4,26135
5,22985
6,22160
7,19283
8,18665
9,16755
10,15549
11,14533
12,13748
13,12692
14,213107
15,659515
16,2224
17,5251
18,19930
19,1297
20,807
21,1335
22,770
23,1683
24,377
25,283
26,250
27,230
28,174
29,10569
30,502
31,67
32,183
33,58
34,47
35,32
36,48
37,26
38,28
39,24
40,21
41,20
42,19
43,12
44,46
45,21
46,17
47,11
48,20
49,13
50,11
51,8
52,5
53,7
54,10
55,4
56,9
57,8
58,11
59,13
60,6
61,5
62,4
63,5
64,5
65,5
66,4
67,13
68,9
69,5
70,7
71,3
72,8
73,7
74,18
75,49
76,5
77,5
78,1
79,6
80,5
81,1
82,0
83,2
84,3
85,2
86,2
87,1
88,1
89,1
90,3
91,2
92,7
93,2
94,4
95,2
96,1
97,4
98,1
99,3
100,3
101,3
102,1
103,1
104,4
105,5
106,3
107,1
108,2
109,2
110,1
111,0
112,0
113,1
114,1
115,2
116,2
117,1
118,0
119,1
