,vsi_withinwk_std_ratio_30d_w,rest_vsi_p05_delta90,vsi_range_trend,dip_depth_last90_delta,dose_dip_x_starts,weakbat_cold_load,reg_instab_x_usage,sag_under_load,cold_start_fraction_delta90,ged3_rate_delta90,night_start_fraction_delta90
vsi_withinwk_std_ratio_30d_w,1.0,-0.208,0.821,0.268,0.069,0.21,-0.525,0.169,0.037,,0.056
rest_vsi_p05_delta90,-0.208,1.0,-0.379,-0.763,0.499,0.006,0.027,-0.299,0.112,,-0.242
vsi_range_trend,0.821,-0.379,1.0,0.493,-0.018,0.338,-0.587,0.26,0.081,,-0.078
dip_depth_last90_delta,0.268,-0.763,0.493,1.0,-0.752,-0.107,-0.358,0.168,-0.132,,0.246
dose_dip_x_starts,0.069,0.499,-0.018,-0.752,1.0,0.266,-0.085,0.001,0.178,,-0.165
weakbat_cold_load,0.21,0.006,0.338,-0.107,0.266,1.0,0.087,-0.116,0.16,,-0.012
reg_instab_x_usage,-0.525,0.027,-0.587,-0.358,-0.085,0.087,1.0,-0.343,-0.107,,-0.105
sag_under_load,0.169,-0.299,0.26,0.168,0.001,-0.116,-0.343,1.0,-0.16,,0.105
cold_start_fraction_delta90,0.037,0.112,0.081,-0.132,0.178,0.16,-0.107,-0.16,1.0,,0.051
ged3_rate_delta90,,,,,,,,,,,
night_start_fraction_delta90,0.056,-0.242,-0.078,0.246,-0.165,-0.012,-0.105,0.105,0.051,,1.0
