vin_label,ged3_rate_delta90
VIN10_F_SM,0.0
VIN10_NF_SM,0.0
VIN11_F_SM,0.0
VIN11_NF_SM,0.0
VIN12_F_SM,0.0
VIN12_NF_SM,0.0
VIN13_F_SM,0.0
VIN13_NF_SM,0.0
VIN14_F_SM,0.0
VIN14_NF_SM,0.0
VIN15_NF_SM,0.0
VIN16_NF_SM,0.0
VIN17_NF_SM,0.0
VIN18_NF_SM,0.0
VIN19_NF_SM,0.0
VIN1_F_SM,0.0
VIN1_NF_SM,0.0
VIN20_NF_SM,0.0
VIN2_F_SM,0.0
VIN2_NF_SM,0.0
VIN3_F_SM,0.0
VIN3_NF_SM,0.0
VIN4_F_SM,0.0
VIN4_NF_SM,0.0
VIN5_F_SM,0.0
VIN5_NF_SM,0.0
VIN6_F_SM,0.0
VIN6_NF_SM,0.0
VIN7_F_SM,0.0
VIN7_NF_SM,0.0
VIN8_F_SM,0.0
VIN8_NF_SM,0.0
VIN9_F_SM,0.0
VIN9_NF_SM,0.0
